규모,동수,조감도 이미지 파일경로,위치도 이미지 파일경로,전경 이미지 파일경로,위치,시공자,감리자,세대수,용적율,배치도 이미지 파일경로,설계자,구역명,건폐율,정비사업전문관리업체,사업주체,조합 추진위원회 연락처,구역면적,전화번호,추진현황 id,사업추진단계,조합원수,입출금공개건수
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,504,861.19,http://dynamice.busan.go.kr/data/busi_ara/,미정,범천1 가로주택정비,34.37,미정,범천1,051-000-0000,9158.96,051-000-0000,BARA_0000000030153,조합설립인가,156,0
"지하6층/지상49층, 연면적 226,003.6507㎡",7,http://dynamice.busan.go.kr/data/busi_ara/BARA_202010160411458340.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120250503620.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120250503540.jpg,범천동 850-1번지,현대건설,-,1323,849.66,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200451036260.png,(주)아키드림이엔지,범천1-1 재개발,55.73,금하도시개발(주),범천1-1 재개발,051-642-0340,20766.4,051-642-0340,BARA_0000000000047,착공,464,107
미정,0,http://dynamice.busan.go.kr/data/busi_ara/BARA_202102051239284280.PNG,http://dynamice.busan.go.kr/data/busi_ara/null,http://dynamice.busan.go.kr/data/busi_ara/BARA_202102051218345700.png,범천동 851-1번지 일원,미정,미정,0,00,http://dynamice.busan.go.kr/data/busi_ara/BARA_202102051150205530.PNG,미정,범천1-2 재개발,00,미정,범천1-2재개발정비구역,051-636-1125,13427.1,051-636-1125,BARA_0000000030034,해제,0,15
"지하3층,지상38층/연면적 406,352,47㎡",21,http://dynamice.busan.go.kr/data/busi_ara/BARA_202506131031579780.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120303432800.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812240134363730.PNG,범천동 1269-15,현대건설,-,2370,00,http://dynamice.busan.go.kr/data/busi_ara/BARA_202506131031580570.jpg,영탑종합,범천4 재개발,00,(주)도시와 미래,범천4  재개발정비구역,051-635-2238,126690,051-635-2238,BARA_0000000000276,사업시행계획인가,2370,110
,9,http://dynamice.busan.go.kr/data/busi_ara/BARA_202406260256469990.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202406260256470910.jpg,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 부산진구 신암로 70, 2층(범천동)",-,-,0,328,http://dynamice.busan.go.kr/data/busi_ara/BARA_202406260256471150.jpg,-,범천5 재개발,50,(주)정일마스터플랜,범천5,051-851-6640,38277,051-851-6640,BARA_0000000030146,조합설립인가,0,0
,2,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,165,354.83,http://dynamice.busan.go.kr/data/busi_ara/,-,벧엘아파트 소규모재건축,17.75,-,벧엘아파트,051-853-2234,4366.2,051-853-2234,BARA_0000000030115,조합설립인가,89,0
"지하3층, 지상 7~26층",68개동,http://dynamice.busan.go.kr/data/busi_ara/BARA_201907300441106390.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260229448160.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201907300441106130.PNG,동래구 칠산동246번지 일원,GS건설,미정,4673,227.17,http://dynamice.busan.go.kr/data/busi_ara/BARA_201907300441106350.PNG,(주)새누건축사사무소,복산1 재개발,19.68,정일마스터플랜,복산1구역 주택재개발조합,051-557-0402,405465,051-557-0402,BARA_0000000000153,사업시행계획인가,2689,123
"지하3/지상34층, 연면적 184,073.2219㎡",12,http://dynamice.busan.go.kr/data/busi_ara/BARA_201509230535099010.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812140307021830.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812140307021750.jpg,영도구 봉래동4가 69-1번지 일원,아이에스동서,토문엔지니어링,1216,261.47,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120203557830.jpg,한미종합건축사사무소,봉래1 재개발,16.66,(주)서진C&D,봉래1구역주택재개발,051-413-0770,62379,051-413-0770,BARA_0000000000218,준공,484,20
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,308,937.18,http://dynamice.busan.go.kr/data/busi_ara/,젬마건축사사무소,봉래동2가 75-1번지 일원 가로주택정비,75.7,지안도시개발(주),봉래동2가 75-1번지 일원,051-413-8885,3649.64,051-413-8885,BARA_0000000030131,조합설립인가,52,0
,4,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,부산광역시 영도구 봉래동3가 137번지 일원,미정,미정,312,926.45,http://dynamice.busan.go.kr/data/busi_ara/,(주)호원종합건축사사무소,봉래동3가 137번지 일원 가로주택정비,65.4,코리아엘리,봉래동3가 137번지 일원,010-7171-2473,4638.7,010-7171-2473,BARA_0000000030116,조합설립인가,111,0
"지하4층/지상 12~30층,연면적 300,820.73㎡",19,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101106126640.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101106177270.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101106017810.bmp,"가마실로 19, 2층",GS건설,미정,1968,259.38,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812101106080230.jpg,상지,부곡2 재개발,14.48,명성디앤씨,부곡2재개발정비사업,051-514-0321,125797,051-514-0321,BARA_0000000000070,사업시행계획인가,926,184
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"서동로 5, 2층",미정,미정,209,242.37,http://dynamice.busan.go.kr/data/busi_ara/,미정,부곡3 가로주택정비,17.4,미정,부곡3,051-516-1987,9997.87,051-516-1987,BARA_0000000030092,조합설립인가,90,0
-,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"부곡동 812-12, 2층",HJ중공업,-,179,235.37,http://dynamice.busan.go.kr/data/busi_ara/,벡타,부곡동 812-1번지 일원 소규모재건축,20.38,정비기획원,부곡동 812-1번지 일원 소규모재건축사업,051-517-8606,7047,051-517-8606,BARA_0000000030053,조합설립인가,115,0
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,-,-,170,202.57,http://dynamice.busan.go.kr/data/busi_ara/,-,부곡동 841-40 가로주택정비,30,-,부곡동 841-40,051-240-4400,9957.6,051-240-4400,BARA_0000000030079,조합설립인가,137,0
"지하5층, 지상20~28층",12,http://dynamice.busan.go.kr/data/busi_ara/BARA_202003130129039210.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202003130140592970.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811071208003920.png,"해돋이로269번길4, 이약국3층(아미동2가)",미지정,미지정,1042,195.32,http://dynamice.busan.go.kr/data/busi_ara/BARA_202003130139447440.png,(주)신도시엔지니어링종합건축사사무소,부민2 재개발,19.09,(주)제이엠씨엔피,부민2 재개발,051-248-1245,62900.5,051-248-1245,BARA_0000000000130,조합설립인가,720,37
,5,http://dynamice.busan.go.kr/data/busi_ara/BARA_202302270118059220.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202302270118059340.png,http://dynamice.busan.go.kr/data/busi_ara/,"부용로26번길 18, 1층(부용동2가)",-,-,752,249.61,http://dynamice.busan.go.kr/data/busi_ara/BARA_202302270118059850.png,리한건축사사무소,부민3 재개발,46.76,(주)가나개발,부민3,010-3026-2027,36246.3,010-3026-2027,BARA_0000000030104,조합설립인가,438,0
"지하4층,지상34층 연면적 314,988.92㎡",21,http://dynamice.busan.go.kr/data/busi_ara/BARA_202007060438473850.PNG,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812200452521620.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812240135414740.PNG,부산진구 부암동 560번지 일원,롯데건설,가람건축,2195,251.78,http://dynamice.busan.go.kr/data/busi_ara/BARA_202007060438473790.PNG,신성,부암1 재개발,16.06,다우엠엔지(주),부암1주택재개발정비구역,051-804-5950,107329,051-804-5950,BARA_0000000000044,준공,617,121
"지하2층/지상20층, 16,353㎡",1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,양정동 406-6번지 일원,미정,미정,0,631.25,http://dynamice.busan.go.kr/data/busi_ara/,미정,부원아파트(소규모) 소규모재건축,0,미정,부원아파트 소규모재건축,0000-0000-0000,3832.1,0000-0000-0000,BARA_0000000030033,조합설립인가,0,0
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/BARA_202407090319130730.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202407090319130530.jpg,"부산광역시 부산진구 새싹로 41-1, 2층(부전동)",-,-,324,784.27,http://dynamice.busan.go.kr/data/busi_ara/,-,부전역 소규모재개발,50.42,-,부전역,051-914-2326,4671.30,051-914-2326,BARA_0000000030149,조합설립인가,270,0
,3,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 남구 용호로 116, 2층(용호동)",-,-,355,499.47,http://dynamice.busan.go.kr/data/busi_ara/,-,분포목련아파트 가로주택정비,47.03,반석도시개발,분포목련아파트,051-714-6851,7697.5,051-714-6851,BARA_0000000030148,조합설립인가,355,0
미정,미정,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,동래구 사직동 354-2번지 일원,미정,미정,미정,미정,http://dynamice.busan.go.kr/data/busi_ara/,미정,사직 진성맨션블록 가로주택정비,미정,미정,사직 진성맨션블록가로주택정비사업조합,000-0000-0000,6140,000-0000-0000,BARA_0000000030032,조합해산,74,0
미정,미정,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260135202580.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260135202550.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260135202480.jpg,동래구 사직동 16-1번지 일원,미정,미정,미정,미정,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260135202530.png,미정,사직1-5 재건축,미정,미정,사업시행자(한국자산신탁),051-501-1831,28101,051-501-1831,BARA_0000000000267,사업시행계획인가,0,23
"지하3층/지상35층 연면적 178,898.8621㎡",10,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260136580820.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901301034331450.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260136580730.jpg,동래구 사직동 630번지 일원,현대건설,미정,"1,090",267,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901280103242520.jpg,아르이타,사직1-6 재건축,16.38,(주)페이머스하우징,사직1-6지구 재건축조합,051-501-7227,"52,839",051-501-7227,BARA_0000000000295,착공,719,76
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,0,1,http://dynamice.busan.go.kr/data/busi_ara/,미정,사직2 재개발,1,(주)도시와미래,사직2,051-504-4546,47747,051-504-4546,BARA_0000000030117,조합설립인가,0,0
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,655,1,http://dynamice.busan.go.kr/data/busi_ara/,미정,사직3 재개발,1,미정,사직3,051-505-8290,47153,051-505-8290,BARA_0000000030135,조합설립인가,655,0
,1,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 동래구 중앙대로 1275-1, 402호",1,1,4,1,http://dynamice.busan.go.kr/data/busi_ara/,1,사직4 재개발,1,1,사직4,051-507-5547,96089,051-507-5547,BARA_0000000030163,조합설립인가,1,0
"지하3층,지상35층/연면적 325,605㎡",18,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190305261300.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190308029070.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190305260830.jpg,가야동 410번지 일원(가야초교 남측 일원),"(주)현대산업개발,(주)대우건설",-,1943,257.90,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812190305261020.jpg,(주)영탑종합건축사사무소,가야1 재개발,17.19,명성디앤씨,가야1 재개발,051-895-6958,98206,051-895-6958,BARA_0000000000056,관리처분계획,665,105
"지하3층,지상36층, 연면적 147,447.8701㎡",6,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100446387260.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202312290221583060.GIF,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812240129436190.PNG,가야동 186 일원,(주)롯데건설,삼우공간건축사사무소,935,294.4,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100446387080.jpg,(주)신도시엔지니어링종합건축사사무소,가야3 재개발,14.91,(주)한가람,가야3 재개발,051-891-5606,34618,051-891-5606,BARA_0000000000050,준공,209,80
,16,http://dynamice.busan.go.kr/data/busi_ara/BARA_202405070458395960.jpg,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 부산진구 냉정로 266, 2층(가야동)",-,-,0,257,http://dynamice.busan.go.kr/data/busi_ara/BARA_202405070458396230.jpg,-,가야4 재개발,45,(주)나무,가야4,051-893-5888,107147,051-893-5888,BARA_0000000030138,조합설립인가,0,0
"지하4층/지상45층, 연면적 1,316,339.019㎡",66,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110910423420.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110910423320.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110910422880.png,"우암로 134, 3층 (감만동, 삼진빌딩)","(주)대우건설, (주)동부건설",미정,9092,291.02,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110910423040.jpg,일신건축,감만1 재개발,19.46,(주)한신코아건설,감만1주택재개발,051-927-0090,418967,051-927-0090,BARA_0000000000196,관리처분계획,8637,110
지하4/지상35,21,http://dynamice.busan.go.kr/data/busi_ara/BARA_201611031042098390.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100258529280.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812260358221200.png,사하구 감천1동 202일원,(주)현대건설,-,1810,246.82,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812210904115480.PNG,(주)삼익엔지니어링건축사사무소(주)건축사사무소아라그룹 컨소시엄,감천2 재개발,18.52,다우엠엔지주식회사,감천2주택재개발,051-206-5331,134823,051-206-5331,BARA_0000000000170,사업시행계획인가,872,38
"지하3/지상29층, 연면적",7,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901100319289440.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110256174200.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812110256174150.png,개금동 207-6 일원,(주)동원개발,미정,539,264.09,http://dynamice.busan.go.kr/data/busi_ara/BARA_201901100319265540.png,(주)한미건축종합건축사사무소,개금2 재개발,18.59,(주)명성디앤씨,개금2 재개발,051-898-4077,27544,051-898-4077,BARA_0000000000135,관리처분계획,125,136
"지하2층/지상 22~35층/105,305.95㎡",5,http://dynamice.busan.go.kr/data/busi_ara/BARA_202103100317242640.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811141123220370.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202103100317242050.jpg,연제구 여고로130(거제동),미정,미정,0,260,http://dynamice.busan.go.kr/data/busi_ara/BARA_202103100317242080.jpg,상지건축,거제1 재건축,30,(주)정일마스터플랜,거제1구역 주택재건축정비사업,051-506-5256,35316,051-506-5256,BARA_0000000000100,조합설립인가,0,18
"지하3층/지상35층 연면적 750,276㎡",34,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811150439253150.bmp,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811150439253120.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811150439252980.jpg,"해맞이로81번길 8, 2층(거제동)","삼성물산(주), 대림산업(주), HDC현대산업개발(주)",(주)다인그룹엔지니어링건축사사무소,4470,256.04,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811150439253070.jpg,"C&T건축사사무소, 건원 건축사사무소",거제2 재개발,13.52,정일마스터플랜,거제2구역 주택재개발정비사업,051-502-1361,238588.90,051-502-1361,BARA_0000000000093,준공,1422,70
,4,http://dynamice.busan.go.kr/data/busi_ara/BARA_202508080533121780.조감도.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_202508080533122460.위치도.jpg,http://dynamice.busan.go.kr/data/busi_ara/,"부산광역시 연제구 중앙대로1226번길 30, 205호",미선정,미선정,486,273.71,http://dynamice.busan.go.kr/data/busi_ara/BARA_202508080533122680.배치도.jpg,미선정,거제2 재건축,14.23,미선정,거제2,051-907-5240,20250,051-907-5240,BARA_0000000030097,조합설립인가,239,0
,4,http://dynamice.busan.go.kr/data/busi_ara/BARA_202410241130435550.PNG,http://dynamice.busan.go.kr/data/busi_ara/BARA_202410241123381360.PNG,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,530,289.47,http://dynamice.busan.go.kr/data/busi_ara/BARA_202410241130436330.PNG,미정,거제3 재개발,23.51,미정,거제3,051-852-8700,25312,051-852-8700,BARA_0000000030156,추진위원회 구성,245,0
"지하2층/지상27층, 연면적 32,098.9732㎡",2,http://dynamice.busan.go.kr/data/busi_ara/BARA_201910040535397120.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201910040546270910.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201811141146373960.jpg,"연제구 법원로32번길 15,502호",SG신성건설,미정,192,240.2,http://dynamice.busan.go.kr/data/busi_ara/BARA_201911141241378410.jpg,상지건축사사무소,거제동 가로주택정비,18.45,(주)스마트도시정비,거제동 가로주택정비사업,051-867-1050,8521,051-867-1050,BARA_0000000030003,이전고시,90,39
"지하3/지상34층, 연면적 155,490.08㎡",8,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100458574530.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100458574450.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100458574370.jpg,"수영로 517, 601호",GS건설,건축사사무소 태백,971,282.41,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100458574400.jpg,신성ENG건축사사무소,광안1 재건축,17.28,-,광안1구역 주택재건축,051-751-8145,45372,051-751-8145,BARA_0000000000085,준공,798,1
"지하2층/지상31층, 연면적 182,451.7689㎡",10,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812121013023900.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812120631478790.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812121013023520.jpg,수영로 565(광안동) 3층,SK건설,(주)아이티엠코퍼레이션,1237,260,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812121013023570.jpg,푸른도시건축사,광안2 재개발,18.11,(주)미래파워,광안2구역 주택재개발,051-754-5007,65903.5,051-754-5007,BARA_0000000000072,착공,595,69
"지하3층/지상19층, 연면적 37,440.3101㎡",5,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100500504140.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100500504110.jpg,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100500503830.jpg,"수영로 55번길 49, 102호",IS동서,(주)정림종합엔지니어링건축사사무소,225,232.47,http://dynamice.busan.go.kr/data/busi_ara/BARA_201812100500503860.jpg,(주)상지엔지니어링건축사사무소,광안2 재건축,23.42,(주)반석도시개발,광안2구역 주택재건축,051-753-5557,13626.4,051-753-5557,BARA_0000000000086,준공,64,132
,8,http://dynamice.busan.go.kr/data/busi_ara/BARA_202409110251387940.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202306050525577450.JPG,http://dynamice.busan.go.kr/data/busi_ara/,수영구 장대골로 70-1,미정,미정,1073,224.87,http://dynamice.busan.go.kr/data/busi_ara/BARA_202409110251388170.png,(주)하나기술단,광안3 재개발,15.34,(주)명성디앤씨,광안3,051-759-7591,71895.4,051-759-7591,BARA_0000000030108,조합설립인가,963,0
,8,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,http://dynamice.busan.go.kr/data/busi_ara/,"수영구 수영로680번길 42, 2층",-,-,966,265.76,http://dynamice.busan.go.kr/data/busi_ara/BARA_202406050258306920.jpg,-,광안4 재개발,17.71,-,광안4,051-751-9007,49754,051-751-9007,BARA_0000000030141,조합설립인가,0,0
,16,http://dynamice.busan.go.kr/data/busi_ara/BARA_202412180139368220.png,http://dynamice.busan.go.kr/data/busi_ara/BARA_202412180139368780.jpg,http://dynamice.busan.go.kr/data/busi_ara/,,미정,미정,2058,287.98,http://dynamice.busan.go.kr/data/busi_ara/BARA_202412180139368900.jpg,미정,광안5 재개발,22.22,미정,광안5,051-751-2166,109387,051-751-2166,BARA_0000000030162,추진위원회 구성,0,0
