"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세금(만원)","층","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"22","부산광역시 해운대구 재송동","1071-23","1071","0023","첼리투스","월세","17.5500","202508","14","1,000","45","6","2020","재송1로14번길 18","202508~202608","신규","-","","","연립다세대"
"23","부산광역시 금정구 장전동","276-19","0276","0019","네버랜드105","월세","15.1100","202508","14","500","36","2","2015","부산대학로64번길 81-16","202508~202608","신규","-","","","연립다세대"
"24","부산광역시 금정구 장전동","29-16","0029","0016","파라다이스","월세","28.7960","202508","14","2,000","59","4","2015","금강로335번길 81-1","202508~202608","신규","-","","","연립다세대"
"25","부산광역시 해운대구 우동","957-51","0957","0051","(957-51)","월세","24.4350","202508","14","300","35","4","2012","해운대로483번가길 31","202508~202608","신규","-","","","연립다세대"
"26","부산광역시 수영구 광안동","702-9","0702","0009","세영힐스테이","월세","14.6800","202508","14","300","51","2","2020","광서로9번길 48","202508~202608","신규","-","","","연립다세대"
"27","부산광역시 수영구 광안동","616-4","0616","0004","위클라우드15차","월세","18.0091","202508","14","500","45","4","2018","광일로9번길 16-17","202508~202608","신규","-","","","연립다세대"
"28","부산광역시 사상구 주례동","60-53","0060","0053","THEBESTHOUSE","월세","17.3300","202508","13","500","46","11","2019","가야대로378번길 8-3","202508~202608","신규","-","","","연립다세대"
"29","부산광역시 수영구 광안동","659-8","0659","0008","센티움시티7차","월세","22.6666","202508","13","600","72","10","2018","수영로 637-6","202508~202608","신규","-","","","연립다세대"
"30","부산광역시 수영구 광안동","1067-13","1067","0013","청목바다처럼","월세","17.7250","202508","13","300","34","4","2014","망미번영로16번길 88","202508~202608","신규","-","","","연립다세대"
"31","부산광역시 수영구 광안동","79-6","0079","0006","목화그린빌라(A동)","전세","57.5250","202508","13","13,100","0","4","1994","수영로674번길 27","202510~202710","신규","-","","","연립다세대"
"32","부산광역시 사상구 주례동","54-73","0054","0073","동서그린빌","월세","18.1000","202508","13","200","29","2","2011","냉정로 129","202508~202608","신규","-","","","연립다세대"
"33","부산광역시 사상구 덕포동","411-3","0411","0003","한울다온JS","월세","24.1770","202508","13","2,000","45","4","2018","삼덕로89번길 12-12","202508~202608","신규","-","","","연립다세대"
"34","부산광역시 남구 대연동","564-16","0564","0016","대박스카이","월세","19.3200","202508","13","500","39","3","2011","유엔로 223","202508~202608","신규","-","","","연립다세대"
"35","부산광역시 해운대구 반여동","1291-390","1291","0390","(1291-390)","월세","36.1800","202508","13","300","20","1","1994","재반로225번길 28-41","202508~202708","신규","-","","","연립다세대"
"36","부산광역시 서구 동대신동3가","95-3","0095","0003","메종드Ⅲ","월세","18.6500","202508","13","2,000","30","4","2018","망양로 95-5","202508~202608","신규","-","","","연립다세대"
"37","부산광역시 영도구 동삼동","867-3","0867","0003","하리타운D동","월세","19.8600","202508","13","1,000","40","4","2013","태종로773번길 6-6","202508~202608","신규","-","","","연립다세대"
"38","부산광역시 해운대구 중동","648-1","0648","0001","그린힐하이츠빌라4차","월세","67.9100","202508","13","500","50","5","2002","청사포로86번길 12","202508~202708","신규","-","","","연립다세대"
"39","부산광역시 사하구 당리동","61-22","0061","0022","(61-22)","전세","58.6250","202508","13","9,450","0","3","2012","승학로71번길 82-1","202509~202709","신규","-","","","연립다세대"
"40","부산광역시 금정구 장전동","137-16","0137","0016","솔로몬","월세","13.2400","202508","13","500","30","5","2012","수림로91번길 24","202508~202608","신규","-","","","연립다세대"
"41","부산광역시 금정구 장전동","222-71","0222","0071","(222-71)","월세","14.3700","202508","13","300","30","5","2012","금정로149번안길 13-1","202508~202608","신규","-","","","연립다세대"
"42","부산광역시 수영구 수영동","470-19","0470","0019","금호드림빌","전세","74.7600","202508","13","12,000","0","5","2003","망미번영로74번길 20","202510~202710","신규","-","","","연립다세대"
"43","부산광역시 북구 덕천동","412-23","0412","0023","애플하우스","월세","19.6900","202508","13","2,500","35","6","2017","의성로115번길 13","202508~202608","신규","-","","","연립다세대"
"44","부산광역시 북구 덕천동","408-5","0408","0005","플러스빌","월세","20.8800","202508","13","2,000","30","2","2015","만덕대로102번가길 34","202509~202609","신규","-","","","연립다세대"
"45","부산광역시 부산진구 개금동","633-112","0633","0112","닥터빌","월세","16.8200","202508","13","1,900","34","2","2013","복지로85번길 5-2","202508~202702","신규","-","","","연립다세대"
"46","부산광역시 남구 대연동","871-10","0871","0010","정원스카이B동","월세","17.5400","202508","13","1,000","33","3","2011","유엔평화로41번길 55","202508~202608","신규","-","","","연립다세대"
"47","부산광역시 중구 영주동","285-1","0285","0001","에이스빌라","전세","67.2300","202508","12","6,500","0","2","1992","동영로 61-1","202509~202709","신규","-","","","연립다세대"
"48","부산광역시 부산진구 양정동","252-3","0252","0003","다조은빌","월세","17.3300","202508","12","500","30","4","2013","중앙대로989번길 59","202508~202608","신규","-","","","연립다세대"
"49","부산광역시 동구 범일동","1366-2","1366","0002","정성빌","월세","55.7700","202508","12","2,000","65","3","2022","범곡로9번길 13","202508~202708","신규","-","","","연립다세대"
"50","부산광역시 해운대구 우동","518","0518","0000","우일","전세","52.0000","202508","12","10,000","0","2","1978","우동1로38번길 11","202508~202608","신규","-","","","연립다세대"
"51","부산광역시 부산진구 개금동","616-5","0616","0005","해오름C동","월세","14.7000","202508","12","1,500","25","5","2012","가야대로424번길 87","202508~202608","신규","-","","","연립다세대"
"52","부산광역시 연제구 연산동","659-73","0659","0073","명성아트빌","월세","16.6052","202508","12","2,400","5","2","2018","쌍미천로73번길 27","202509~202709","신규","-","","","연립다세대"
"53","부산광역시 남구 대연동","1505-5","1505","0005","창진백화맨션","전세","71.0000","202508","12","11,000","0","1","1983","진남로64번길 12","202509~202709","신규","-","","","연립다세대"
"54","부산광역시 연제구 연산동","1120-11","1120","0011","연산세움","전세","33.9250","202508","12","12,000","0","3","2019","쌍미천로 122","202509~202709","신규","-","","","연립다세대"
"55","부산광역시 해운대구 재송동","210-9","0210","0009","센텀프라다","월세","22.0400","202508","12","1,000","30","3","2018","해운대로99번길 18","202508~202608","신규","-","","","연립다세대"
"56","부산광역시 남구 대연동","563-9","0563","0009","두일렛","월세","12.2200","202508","12","500","35","3","2012","유엔평화로47번길 153-21","202508~202608","신규","-","","","연립다세대"
"57","부산광역시 해운대구 중동","821-2","0821","0002","동신빌라","월세","63.9600","202508","12","9,000","10","2","1992","좌동순환로468번나길 37","202509~202709","신규","-","","","연립다세대"
"58","부산광역시 동래구 온천동","1249-4","1249","0004","미래빌","월세","33.5100","202508","12","1,000","50","4","2012","사직북로28번길 186","202508~202608","신규","-","","","연립다세대"
"59","부산광역시 북구 덕천동","333-4","0333","0004","덕산","전세","60.7900","202508","12","8,000","0","2","1979","만덕대로15번길 45","202508~202708","신규","-","","","연립다세대"
"60","부산광역시 남구 대연동","543-2","0543","0002","르씨엘대연","월세","13.7300","202508","12","2,000","48","5","2022","수영로266번길 99","202508~202608","신규","-","","","연립다세대"
"61","부산광역시 금정구 장전동","219-15","0219","0015","(219-15)","월세","13.8800","202508","12","2,000","10","5","2012","수림로49번길 38","202508~202701","신규","-","","","연립다세대"
"62","부산광역시 부산진구 전포동","33-211","0033","0211","우람빌라2차","월세","36.7700","202508","12","0","20","1","2001","진남로435번길 13","202508~202708","신규","-","","","연립다세대"
"63","부산광역시 부산진구 개금동","615-11","0615","0011","엘케이펠리스","월세","25.3400","202508","12","2,000","50","9","2018","엄광로 21","202508~202608","신규","-","","","연립다세대"
"64","부산광역시 남구 대연동","573-22","0573","0022","미리내","월세","13.8100","202508","12","300","37","4","2011","유엔평화로29번길 120","202508~202608","신규","-","","","연립다세대"
"65","부산광역시 사상구 주례동","55-154","0055","0154","금강나이스빌","월세","12.6800","202508","12","500","28","5","2014","가야대로366번길 19-6","202508~202608","신규","-","","","연립다세대"
"66","부산광역시 수영구 광안동","97-13","0097","0013","제이빌","월세","20.4150","202508","12","200","27","5","2011","수영로660번길 21","202508~202608","신규","-","","","연립다세대"
"67","부산광역시 수영구 광안동","153-5","0153","0005","세종엠스테이Ⅵ","월세","27.6100","202508","11","9,500","10","3","2017","광안로49번길 17","202509~202709","신규","-","","","연립다세대"
"68","부산광역시 기장군 기장읍 동부리","396-8","0396","0008","아떼우스빌","전세","25.8800","202508","11","5,500","0","1","2003","반송로 1591","202508~202708","신규","-","","","연립다세대"
"69","부산광역시 기장군 기장읍 동부리","390-2","0390","0002","태훈가그린빌라","전세","78.7050","202508","11","14,000","0","3","2016","차성로365번길 3-6","202509~202709","신규","-","","","연립다세대"
"70","부산광역시 사상구 주례동","92-233","0092","0233","태영아너스1","월세","18.4000","202508","11","2,000","41","3","2023","주례로28번길 41","202508~202608","신규","-","","","연립다세대"
"71","부산광역시 수영구 광안동","142-2","0142","0002","마린캐슬A","월세","21.9900","202508","11","500","11","2","2011","광안로7번길 33","202508~202608","신규","-","","","연립다세대"
"72","부산광역시 수영구 광안동","1067-15","1067","0015","두성하모니빌","월세","18.6000","202508","11","300","37","3","2012","망미번영로16번길 94","202508~202608","신규","-","","","연립다세대"
"73","부산광역시 수영구 광안동","1055-111","1055","0111","아이콘9차","월세","17.0990","202508","11","3,000","40","4","2022","광서로36번길 27-15","202509~202609","신규","-","","","연립다세대"
"74","부산광역시 수영구 광안동","153-5","0153","0005","세종엠스테이Ⅵ","전세","27.6100","202508","11","13,000","0","3","2017","광안로49번길 17","202509~202709","신규","-","","","연립다세대"
"75","부산광역시 북구 구포동","1248-12","1248","0012","한길빌라(1248-12)","월세","46.9200","202508","11","500","25","4","1993","시랑로170번길 16","202508~202708","신규","-","","","연립다세대"
"76","부산광역시 남구 대연동","1501-13","1501","0013","메타시티","월세","14.1930","202508","11","500","62","3","2025","못골번영로 67","202508~202608","신규","-","","","연립다세대"
"77","부산광역시 해운대구 중동","967-8","0967","0008","해운비치빌라나동","전세","105.9600","202508","11","23,000","0","2","1998","달맞이길62번길 5-42","202511~202711","신규","-","","","연립다세대"
"78","부산광역시 서구 암남동","81-31","0081","0031","스카이빌","월세","16.0000","202508","11","500","30","4","2013","감천로 281-1","202508~202702","신규","-","","","연립다세대"
"79","부산광역시 부산진구 개금동","177-189","0177","0189","아이리스7차","월세","19.8700","202508","11","2,000","35","2","2014","복지로21번길 39-1","202508~202608","신규","-","","","연립다세대"
"80","부산광역시 사하구 괴정동","975-13","0975","0013","라움","월세","23.2500","202508","11","300","34","2","2016","낙동대로224번길 3","202508~202608","신규","-","","","연립다세대"
"81","부산광역시 동래구 온천동","1378-2","1378","0002","강남럭스빌#6","월세","19.0100","202508","11","200","33","3","2013","아시아드대로220번길 48","202508~202608","신규","-","","","연립다세대"
"82","부산광역시 금정구 장전동","23-15","0023","0015","보경원룸","월세","18.6000","202508","11","500","28","3","2000","금강로321번길 117-8","202508~202608","신규","-","","","연립다세대"
"83","부산광역시 연제구 연산동","308-27","0308","0027","이즈원","월세","67.2700","202508","11","1,000","50","2","2022","신금로5번길 16-3","202508~202708","신규","-","","","연립다세대"
"84","부산광역시 연제구 연산동","867-25","0867","0025","큐브빌","월세","16.4500","202508","11","500","40","7","2017","중앙대로990번길 19","202508~202608","신규","-","","","연립다세대"
"85","부산광역시 연제구 연산동","665-13","0665","0013","햇살사랑채","전세","17.3600","202508","11","4,000","0","4","2013","대리로6번길 71","202508~202708","신규","-","","","연립다세대"
"86","부산광역시 연제구 연산동","1306-21","1306","0021","드림하우스","월세","20.0100","202508","11","500","40","6","2011","중앙천로 81-8","202508~202602","신규","-","","","연립다세대"
"87","부산광역시 연제구 연산동","1503-32","1503","0032","꿈에그린","월세","19.8500","202508","11","500","32","4","2013","신촌로23번길 40-17","202508~202608","신규","-","","","연립다세대"
"88","부산광역시 부산진구 양정동","271-36","0271","0036","이브팰리스","전세","23.6700","202508","11","11,000","0","9","2019","연수로11번길 20","202509~202709","신규","-","","","연립다세대"
"89","부산광역시 동래구 안락동","426-20","0426","0020","(426-20)","월세","19.1085","202508","11","2,000","36","7","2021","안락로17번길 9","202509~202609","신규","-","","","연립다세대"
"90","부산광역시 부산진구 전포동","681-6","0681","0006","큐갤러리","월세","17.9100","202508","11","500","45","4","2013","전포대로223번길 11","202508~202608","신규","-","","","연립다세대"
"91","부산광역시 동래구 온천동","1446-17","1446","0017","수정빌","월세","20.7700","202508","11","300","30","2","2010","미남로116번길 17","202508~202608","신규","-","","","연립다세대"
"92","부산광역시 부산진구 개금동","631-11","0631","0011","양지코쿤빌27차","월세","16.0600","202508","10","500","35","1","2012","엄광로12번길 55-9","202508~202608","신규","-","","","연립다세대"
"93","부산광역시 서구 토성동2가","9-2","0009","0002","토성스타","월세","15.4000","202508","10","1,000","29","7","2013","구덕로186번길 22","202508~202608","신규","-","","","연립다세대"
"94","부산광역시 서구 토성동2가","9-2","0009","0002","토성스타","월세","15.4000","202508","10","1,000","29","7","2013","구덕로186번길 22","202508~202608","신규","-","","","연립다세대"
"95","부산광역시 연제구 연산동","329-19","0329","0019","전원빌","월세","25.3100","202508","10","2,000","45","2","2013","쌍미천로156번길 12","202508~202608","신규","-","","","연립다세대"
"96","부산광역시 부산진구 양정동","255-9","0255","0009","월드빌리지","월세","30.5200","202508","10","1,000","51","5","2013","거제천로40번길 9","202508~202608","신규","-","","","연립다세대"
"97","부산광역시 금정구 장전동","23-27","0023","0027","이안빌","월세","13.5300","202508","10","500","41","5","2015","금강로335번길 119","202508~202602","신규","-","","","연립다세대"
"98","부산광역시 금정구 장전동","23-12","0023","0012","센텀우리","월세","14.1500","202508","10","500","26","2","2018","금강로321번길 123-13","202508~202608","신규","-","","","연립다세대"
"99","부산광역시 서구 동대신동3가","63-179","0063","0179","에비뉴엘","월세","15.8600","202508","10","1,000","42","3","2021","망양로111번길 22","202508~202608","신규","-","","","연립다세대"
"100","부산광역시 남구 대연동","635-16","0635","0016","논두렁꿩알","월세","16.5800","202508","10","300","30","4","2010","유엔로157번가길 60","202508~202608","신규","-","","","연립다세대"
"101","부산광역시 연제구 연산동","712-24","0712","0024","다사랑빌","월세","19.9200","202508","10","1,000","46","4","2017","월드컵대로91번가길 14","202502~202602","신규","-","","","연립다세대"
"102","부산광역시 부산진구 부전동","420-22","0420","0022","광동포시즌텔","월세","22.7700","202508","10","200","30","4","1999","가야대로755번길 29-26","202508~202608","신규","-","","","연립다세대"
"103","부산광역시 금정구 장전동","263-76","0263","0076","마당재","월세","14.8000","202508","10","500","36","4","2013","금강로279번길 110","202508~202608","신규","-","","","연립다세대"
"104","부산광역시 사상구 주례동","92-137","0092","0137","화송hermas","월세","19.3000","202508","10","500","30","3","2012","주례로34번길 35","202508~202708","신규","-","","","연립다세대"
"105","부산광역시 수영구 광안동","120-281","0120","0281","화이트하우스3","월세","27.1700","202508","10","300","33","7","2016","무학로10번길 28","202508~202608","신규","-","","","연립다세대"
"106","부산광역시 기장군 장안읍 길천리","411-30","0411","0030","금관빌라드102동","월세","82.1100","202508","10","2,000","50","2","2011","천산로 69-3","202508~202604","신규","-","","","연립다세대"
"107","부산광역시 수영구 광안동","97-23","0097","0023","솔로","월세","18.3600","202508","10","100","39","3","2002","수영로660번길 7-3","202508~202608","신규","-","","","연립다세대"
"108","부산광역시 수영구 광안동","127-33","0127","0033","강남럭스빌2","전세","15.8000","202508","09","5,000","0","3","2016","무학로52번길 21","202508~202708","신규","-","","","연립다세대"
"109","부산광역시 수영구 광안동","111-3","0111","0003","더골드","월세","17.1600","202508","09","1,000","45","2","2016","무학로33번길 22","202508~202608","신규","-","","","연립다세대"
"110","부산광역시 수영구 광안동","138-23","0138","0023","명성토마토","월세","16.5300","202508","09","500","35","2","2009","수영로600번길 30","202508~202608","신규","-","","","연립다세대"
"111","부산광역시 기장군 기장읍 교리","351-17","0351","0017","더하우스기장점","월세","23.6600","202508","09","300","32","2","2004","차성동로 160-21","202508~202608","신규","-","","","연립다세대"
"112","부산광역시 사상구 감전동","121-123","0121","0123","세종B클래스","전세","21.5000","202508","09","7,500","0","3","2019","괘감로 96-5","202509~202709","신규","-","","","연립다세대"
"113","부산광역시 사상구 주례동","210-1","0210","0001","경향쉐르빌","월세","21.5939","202508","09","500","50","8","2020","주감로 201-24","202508~202702","신규","-","","","연립다세대"
"114","부산광역시 사상구 덕포동","416-48","0416","0048","더힐","월세","15.6793","202508","09","500","31","9","2022","삼덕로 72-4","202508~202608","신규","-","","","연립다세대"
"115","부산광역시 기장군 기장읍 청강리","291-12","0291","0012","대동레미안신승빌","월세","17.9996","202508","09","100","30","4","2016","대청로71번길 14","202508~202708","신규","-","","","연립다세대"
"116","부산광역시 연제구 연산동","1386-20","1386","0020","남강Sweet","월세","13.6925","202508","09","200","33","5","2010","월드컵대로145번길 82","202508~202608","신규","-","","","연립다세대"
"117","부산광역시 서구 동대신동3가","13-27","0013","0027","화송","월세","16.1900","202508","09","1,000","40","4","2011","대신공원로 7-7","202508~202608","신규","-","","","연립다세대"
"118","부산광역시 사하구 하단동","595-17","0595","0017","블루원","월세","14.5500","202508","09","2,200","12","2","2013","하신중앙로335번길 75","202508~202608","신규","-","","","연립다세대"
"119","부산광역시 사하구 하단동","487-3","0487","0003","유진빌","월세","15.8000","202508","09","300","25","4","2011","낙동대로575번길 53-6","202508~202608","신규","-","","","연립다세대"
"120","부산광역시 금정구 장전동","25-60","0025","0060","메이트","월세","14.8800","202508","09","500","36","5","2013","금강로321번길 88","202508~202608","신규","-","","","연립다세대"
"121","부산광역시 연제구 연산동","1255-30","1255","0030","영남레미안","월세","18.0100","202508","09","1,000","41","2","2017","월드컵대로153번길 14","202508~202608","신규","-","","","연립다세대"
"122","부산광역시 부산진구 부전동","408-19","0408","0019","더원펠리스C동","월세","23.5900","202508","09","300","36","6","2011","가야대로755번길 64-8","202508~202608","신규","-","","","연립다세대"
"123","부산광역시 연제구 연산동","1310-22","1310","0022","유림가온빌","월세","30.0450","202508","09","500","50","6","2012","중앙대로1050번길 11","202508~202608","신규","-","","","연립다세대"
"124","부산광역시 해운대구 중동","1476-4","1476","0004","정은빌라B","월세","66.8700","202508","09","1,000","40","1","1997","달맞이길117번나길 175-20","202509~202709","신규","-","","","연립다세대"
"125","부산광역시 부산진구 전포동","347-13","0347","0013","이리나","월세","14.5600","202508","09","1,000","54","6","2019","전포대로190번길 18","202508~202608","신규","-","","","연립다세대"
"126","부산광역시 동래구 사직동","158-11","0158","0011","부일주택","전세","56.4600","202508","09","9,000","0","1","1980","중앙대로1267번길 45-6","202508~202708","신규","-","","","연립다세대"
"127","부산광역시 부산진구 양정동","318-30","0318","0030","블루오션C동","월세","12.8400","202508","09","1,000","23","8","2019","중앙대로941번길 61","202508~202608","신규","-","","","연립다세대"
"128","부산광역시 서구 부민동3가","35-3","0035","0003","화이트하우스","월세","25.8000","202508","09","300","35","2","2003","구덕로199번길 34","202508~202608","신규","-","","","연립다세대"
"129","부산광역시 영도구 봉래동1가","187-12","0187","0012","스위트빌","월세","23.6250","202508","09","300","37","3","2013","대교로46번길 7","202508~202608","신규","-","","","연립다세대"
"130","부산광역시 남구 대연동","1723-4","1723","0004","문화센토피아","월세","25.0382","202508","09","1,500","61","5","2016","유엔로157번나길 76","202508~202608","신규","-","","","연립다세대"
"131","부산광역시 남구 대연동","39-5","0039","0005","우연","월세","16.3590","202508","09","300","30","4","2013","용소로7번길 53-7","202508~202608","신규","-","","","연립다세대"
"132","부산광역시 부산진구 양정동","394-24","0394","0024","다세대단아","월세","17.0100","202508","09","1,000","45","5","2017","동평로406번길 51","202508~202608","신규","-","","","연립다세대"
"133","부산광역시 부산진구 개금동","533-7","0533","0007","리치빌","월세","16.5500","202508","09","200","30","2","2011","복지로21번길 12-9","202508~202608","신규","-","","","연립다세대"
"134","부산광역시 부산진구 개금동","554-212","0554","0212","벽산빌","월세","19.2800","202508","09","250","29","4","2011","복지로41번길 19","202508~202608","신규","-","","","연립다세대"
"135","부산광역시 금정구 장전동","412-6","0412","0006","테라101","월세","16.4500","202508","09","4,000","21","5","2018","장전온천천로79번길 5","202508~202708","신규","-","","","연립다세대"
"136","부산광역시 남구 대연동","32-12","0032","0012","은솔원룸C","월세","22.1000","202508","08","1,000","35","3","2001","용소로19번길 86","202508~202608","신규","-","","","연립다세대"
"137","부산광역시 부산진구 개금동","616-5","0616","0005","해오름C동","전세","13.1600","202508","08","4,500","0","5","2012","가야대로424번길 87","202508~202708","신규","-","","","연립다세대"
"138","부산광역시 해운대구 우동","957-51","0957","0051","(957-51)","월세","24.4350","202508","08","300","35","3","2012","해운대로483번가길 31","202508~202608","신규","-","","","연립다세대"
"139","부산광역시 남구 대연동","1721-3","1721","0003","누리마루빌","월세","18.2800","202508","08","500","36","4","2006","유엔평화로17번길 105","202508~202608","신규","-","","","연립다세대"
"140","부산광역시 서구 부민동3가","35-4","0035","0004","씨엘레지던스","월세","15.6700","202508","08","1,000","40","2","2014","구덕로199번길 38","202508~202608","신규","-","","","연립다세대"
"141","부산광역시 서구 부민동3가","35-4","0035","0004","씨엘레지던스","월세","17.6100","202508","08","1,000","44","2","2014","구덕로199번길 38","202508~202608","신규","-","","","연립다세대"
"142","부산광역시 부산진구 양정동","144-17","0144","0017","대신리치","월세","20.7650","202508","08","200","31","3","2010","중앙대로970번가길 7","202508~202608","신규","-","","","연립다세대"
"143","부산광역시 금정구 장전동","29-2","0029","0002","송현재","월세","13.8300","202508","08","500","30","5","2012","금강로335번길 89","202508~202608","신규","-","","","연립다세대"
"144","부산광역시 서구 부민동3가","35-4","0035","0004","씨엘레지던스","월세","15.6700","202508","08","1,000","40","4","2014","구덕로199번길 38","202508~202608","신규","-","","","연립다세대"
"145","부산광역시 서구 부민동3가","35-4","0035","0004","씨엘레지던스","월세","15.6700","202508","08","1,000","40","3","2014","구덕로199번길 38","202508~202608","신규","-","","","연립다세대"
"146","부산광역시 사하구 하단동","155-8","0155","0008","아트빌","월세","23.6700","202508","08","300","27","2","2013","낙동대로457번안길 32","202508~202608","신규","-","","","연립다세대"
