"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"37","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,600","9","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"38","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,600","9","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"39","부산광역시 동구 초량동","1203-10","1203","0010","오피스텔프레지던트","47.8500","202508","07","9,000","9","기타","개인","1991","중앙대로180번길 13","-","직거래","-"
"40","부산광역시 동구 초량동","1210-6","1210","0006","태영 노블리안","23.1150","202508","07","5,200","8","개인","개인","2003","중앙대로 169","-","중개거래","부산 동구"
"41","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,600","7","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"42","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,600","7","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"43","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,750","19","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"44","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,500","6","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"45","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,500","6","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"46","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,550","6","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"47","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,750","18","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"48","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","22.9733","202508","07","8,600","5","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"49","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","22.2562","202508","07","8,350","5","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"50","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","22.9733","202508","07","8,700","6","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"51","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,600","8","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"52","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,750","16","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"53","부산광역시 영도구 남항동1가","145-1","0145","0001","시엘 더 숲","29.7400","202508","07","8,000","5","개인","개인","2019","절영로43번길 16","-","중개거래","부산 영도구"
"54","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,600","8","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"55","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,750","16","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"56","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,600","8","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"57","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","15","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"58","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","15","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"59","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","14","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"60","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,750","15","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"61","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","14","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"62","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.3305","202508","07","7,750","14","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"63","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","13","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"64","부산광역시 사하구 장림동","1151","1151","0000","사하장림역스마트더블유아파트","19.5915","202508","07","7,700","12","공공기관","법인","2018","장림번영로104번길 10","-","직거래","-"
"65","부산광역시 해운대구 좌동","1475-2","1475","0002","투모로우 오피스텔","29.8480","202508","06","10,200","7","개인","개인","2017"," ","20250808","중개거래","부산 해운대구"
"66","부산광역시 부산진구 범천동","868-1","0868","0001","서면 스테빌리움 2차","29.9621","202508","06","20,850","15","법인","법인","2024","중앙대로635번길 25","-","직거래","-"
"67","부산광역시 영도구 영선동4가","1-2","0001","0002","신화하니엘 더마린","81.9440","202508","06","25,000","9","개인","법인","2019","절영로94번길 33","-","중개거래","부산 영도구"
"68","부산광역시 영도구 남항동1가","51-1","0051","0001","한울시너스","65.8600","202508","06","13,000","2","개인","개인","2014","남항로9번길 5","-","중개거래","부산 영도구"
"69","부산광역시 동구 초량동","1147-14","1147","0014","국제오피스텔","51.3350","202508","06","11,000","11","개인","법인","1990","중앙대로 263","-","중개거래","서울 송파구"
"70","부산광역시 해운대구 좌동","1475-2","1475","0002","투모로우 오피스텔","22.9870","202508","06","6,000","6","개인","개인","2017"," ","-","중개거래","부산 해운대구"
"71","부산광역시 동래구 명장동","132-6","0132","0006","더 라임 A","83.7780","202508","05","22,300","6","개인","개인","2015"," ","-","중개거래","부산 동래구"
"72","부산광역시 동구 수정동","1352","1352","0000","협성휴포레·부산진역 오션뷰","32.6924","202508","05","11,500","36","개인","개인","2019"," ","-","중개거래","부산 동구"
"73","부산광역시 사하구 당리동","341-12","0341","0012","대훈아트룸","26.6400","202508","05","3,200","3","개인","개인","2003","낙동대로 368-1","-","중개거래","부산 사하구"
"74","부산광역시 부산진구 범천동","858-23","0858","0023","한라시그마타워","30.9880","202508","05","7,000","12","개인","개인","2004","황령대로 13","-","직거래","-"
"75","부산광역시 동구 범일동","830-140","0830","0140","동일타워","28.9800","202508","05","7,500","29","개인","개인","2014","조방로 14","-","중개거래","부산 동구"
"76","부산광역시 서구 암남동","236-3","0236","0003","송도비치텔","27.5400","202508","05","5,000","8","개인","개인","1996","충무대로34번길 47","-","직거래","-"
"77","부산광역시 해운대구 좌동","1476-6","1476","0006","천년사랑오피스텔","27.9300","202508","04","4,000","15","개인","개인","2005","양운로 41","-","중개거래","부산 해운대구"
"78","부산광역시 해운대구 우동","777","0777","0000","해운대 한신 휴플러스","42.4445","202508","04","18,000","32","개인","법인","2014","해운대로 550","-","중개거래","부산 해운대구"
"79","부산광역시 동래구 수안동","11-21","0011","0021","새한센시빌","27.8000","202508","04","5,700","5","개인","개인","2004","명륜로 37","-","중개거래","부산 동래구"
"80","부산광역시 해운대구 우동","643-1","0643","0001","한양수자인 마린 오피스텔","26.1740","202508","04","9,000","16","개인","개인","2013","해운대로570번길 17","-","중개거래","부산 해운대구"
"81","부산광역시 해운대구 우동","541-5","0541","0005","해운대비치오피스텔","29.7000","202508","04","6,600","5","개인","개인","1992","구남로18번길 24","-","직거래","-"
"82","부산광역시 수영구 광안동","98-1","0098","0001","수영역 삼정그린코아 더시티","22.6480","202508","03","10,300","17","개인","개인","2020","수영로666번길 6","20250813","중개거래","부산 수영구"
"83","부산광역시 해운대구 좌동","1458-5","1458","0005","쥬노벨 오피스텔","31.5600","202508","02","6,500","8","개인","개인","2007","해운대로781번길 20","-","중개거래","부산 해운대구"
"84","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.6400","202508","01","10,519","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"85","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2000","202508","01","10,295","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"86","부산광역시 남구 감만동","500-2","0500","0002","판테라오피스텔","29.2700","202508","01","4,500","9","개인","개인","2016","무민사로 13","-","중개거래","부산 남구"
"87","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"88","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7000","202508","01","10,550","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"89","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7000","202508","01","10,550","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"90","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"91","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2000","202508","01","10,295","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"92","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.6400","202508","01","10,519","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"93","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.6400","202508","01","10,519","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"94","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2000","202508","01","10,295","13","법인","개인","2024","부전로140번길 12","-","직거래","-"
"95","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","12","법인","개인","2024","부전로140번길 12","-","직거래","-"
"96","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","12","법인","개인","2024","부전로140번길 12","-","직거래","-"
"97","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2000","202508","01","10,295","12","법인","개인","2024","부전로140번길 12","-","직거래","-"
"98","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.6400","202508","01","10,519","12","법인","개인","2024","부전로140번길 12","-","직거래","-"
"99","부산광역시 수영구 민락동","171-7","0171","0007","엠 스테이","63.0800","202508","01","22,000","6","개인","개인","2015"," ","-","중개거래","부산 수영구"
"100","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","4","법인","개인","2024","부전로140번길 12","-","직거래","-"
"101","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","4","법인","개인","2024","부전로140번길 12","-","직거래","-"
"102","부산광역시 동구 범일동","1664","1664","0000","두산위브더제니스 하버시티","29.9146","202508","01","10,000","3","개인","개인","2023"," ","-","중개거래","부산 동구"
"103","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","4","법인","개인","2024","부전로140번길 12","-","직거래","-"
"104","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.6400","202508","01","10,519","15","법인","개인","2024","부전로140번길 12","-","직거래","-"
"105","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2000","202508","01","10,295","15","법인","개인","2024","부전로140번길 12","-","직거래","-"
"106","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"107","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7000","202508","01","10,550","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"108","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7000","202508","01","10,550","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"109","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"110","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2000","202508","01","10,295","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"111","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.6400","202508","01","10,519","14","법인","개인","2024","부전로140번길 12","-","직거래","-"
"112","부산광역시 부산진구 양정동","217","0217","0000","시청센트빌","27.7100","202508","01","4,400","10","개인","개인","2004","중앙대로 981","-","중개거래","부산 부산진구"
"113","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7800","202508","01","10,591","9","법인","개인","2024","부전로140번길 12","-","직거래","-"
"114","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","9","법인","개인","2024","부전로140번길 12","-","직거래","-"
"115","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","8","법인","개인","2024","부전로140번길 12","-","직거래","-"
"116","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","8","법인","개인","2024","부전로140번길 12","-","직거래","-"
"117","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","8","법인","개인","2024","부전로140번길 12","-","직거래","-"
"118","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7600","202508","01","10,581","8","법인","개인","2024","부전로140번길 12","-","직거래","-"
"119","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7800","202508","01","10,591","8","법인","개인","2024","부전로140번길 12","-","직거래","-"
"120","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7800","202508","01","10,591","2","법인","개인","2024","부전로140번길 12","-","직거래","-"
"121","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7000","202508","01","10,550","15","법인","개인","2024","부전로140번길 12","-","직거래","-"
"122","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7000","202508","01","10,550","15","법인","개인","2024","부전로140번길 12","-","직거래","-"
"123","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7600","202508","01","10,581","2","법인","개인","2024","부전로140번길 12","-","직거래","-"
"124","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","2","법인","개인","2024","부전로140번길 12","-","직거래","-"
"125","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","2","법인","개인","2024","부전로140번길 12","-","직거래","-"
"126","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","2","법인","개인","2024","부전로140번길 12","-","직거래","-"
"127","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","3","법인","개인","2024","부전로140번길 12","-","직거래","-"
"128","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7800","202508","01","10,591","3","법인","개인","2024","부전로140번길 12","-","직거래","-"
"129","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","8","법인","개인","2024","부전로140번길 12","-","직거래","-"
"130","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7600","202508","01","10,581","3","법인","개인","2024","부전로140번길 12","-","직거래","-"
"131","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","3","법인","개인","2024","부전로140번길 12","-","직거래","-"
"132","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","3","법인","개인","2024","부전로140번길 12","-","직거래","-"
"133","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","3","법인","개인","2024","부전로140번길 12","-","직거래","-"
"134","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","5","법인","개인","2024","부전로140번길 12","-","직거래","-"
"135","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","7","법인","개인","2024","부전로140번길 12","-","직거래","-"
"136","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","7","법인","개인","2024","부전로140번길 12","-","직거래","-"
"137","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","7","법인","개인","2024","부전로140번길 12","-","직거래","-"
"138","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7600","202508","01","10,581","7","법인","개인","2024","부전로140번길 12","-","직거래","-"
"139","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7800","202508","01","10,591","7","법인","개인","2024","부전로140번길 12","-","직거래","-"
"140","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","7","법인","개인","2024","부전로140번길 12","-","직거래","-"
"141","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","6","법인","개인","2024","부전로140번길 12","-","직거래","-"
"142","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","6","법인","개인","2024","부전로140번길 12","-","직거래","-"
"143","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","6","법인","개인","2024","부전로140번길 12","-","직거래","-"
"144","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7600","202508","01","10,581","6","법인","개인","2024","부전로140번길 12","-","직거래","-"
"145","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7800","202508","01","10,591","6","법인","개인","2024","부전로140번길 12","-","직거래","-"
"146","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","6","법인","개인","2024","부전로140번길 12","-","직거래","-"
"147","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","5","법인","개인","2024","부전로140번길 12","-","직거래","-"
"148","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.6400","202508","01","10,519","12","법인","개인","2024","부전로140번길 12","-","직거래","-"
"149","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","18.2900","202508","01","9,322","15","법인","개인","2024","부전로140번길 12","-","직거래","-"
"150","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.2400","202508","01","10,316","5","법인","개인","2024","부전로140번길 12","-","직거래","-"
"151","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7800","202508","01","10,591","5","법인","개인","2024","부전로140번길 12","-","직거래","-"
"152","부산광역시 해운대구 좌동","1432-4","1432","0004","르네상스 오피스텔","24.8800","202508","01","2,900","3","개인","개인","2006","좌동순환로249번길 11","-","중개거래","부산 해운대구"
"153","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","21.7400","202508","01","11,080","5","법인","개인","2024","부전로140번길 12","-","직거래","-"
"154","부산광역시 남구 대연동","1858","1858","0000","대연 힐스테이트푸르지오","29.8200","202508","01","14,000","8","법인","법인","2013","수영로 345","-","중개거래","부산 남구"
"155","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7600","202508","01","10,581","5","법인","개인","2024","부전로140번길 12","-","직거래","-"
"156","부산광역시 부산진구 부전동","394-10","0394","0010","하람하우스","20.7600","202508","01","10,581","4","법인","개인","2024","부전로140번길 12","-","직거래","-"
