"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"13","부산광역시 부산진구 양정동","445-22","0445","0022","(445-22)","45.5900","34.5000","202508","11","53,450","1","개인","개인","1982","양성로 51","-","중개거래","부산 부산진구","-"
"14","부산광역시 남구 문현동","82-3","0082","0003","현대아트빌","63.5600","43.8657","202508","11","10,000","3","개인","개인","2004","진남로198번길 18","-","직거래","-","25.08.12"
"15","부산광역시 금정구 남산동","116-6","0116","0006","아람빌라","58.2600","26.8875","202508","11","8,500","2","개인","개인","2003","학산로21번길 23","-","중개거래","부산 금정구","25.08.12"
"16","부산광역시 사하구 다대동","932-3","0932","0003","다대신우빌리지","64.3700","66.0900","202508","11","12,200","3","개인","개인","1988","다대로530번길 10","-","중개거래","부산 사하구","-"
"17","부산광역시 동래구 명륜동","691","0691","0000","명륜대진","76.7900","55.1200","202508","09","46,500","2","개인","개인","1982","동래로53번길 16","-","중개거래","부산 동래구","-"
"18","부산광역시 수영구 광안동","150-16","0150","0016","MJ프라디움","20.0400","13.8820","202508","09","23,000","2","개인","개인","2017","광안로21번가길 8","-","중개거래","부산 수영구, 부산 연제구","25.08.13"
"19","부산광역시 수영구 광안동","1039-7","1039","0007","명성프리미엄","17.0200","11.5000","202508","08","10,500","3","개인","개인","2015","연수로382번길 20","-","중개거래","부산 수영구, 부산 연제구","-"
"20","부산광역시 수영구 광안동","186-13","0186","0013","명성빌라트","23.2500","16.3547","202508","08","24,900","3","개인","개인","2017","광남로83번길 32-3","-","중개거래","부산 연제구","-"
"21","부산광역시 동래구 사직동","44-17","0044","0017","상우다솜마을102동","59.5500","36.4600","202508","08","19,500","4","개인","개인","2014","사직북로63번길 51","-","중개거래","부산 동래구","-"
"22","부산광역시 금정구 서동","302-701","0302","0701","(302-704)","40.2400","12.5000","202508","08","8,500","3","법인","개인","1997","서동로130번길 13-16","-","중개거래","부산 금정구","25.08.13"
"23","부산광역시 사하구 하단동","116-7","0116","0007","중보빌라(116-7)","74.6700","29.1300","202508","08","12,500","2","개인","개인","2000","괴정로 41","-","중개거래","부산 사하구","-"
"24","부산광역시 수영구 광안동","135-19","0135","0019","건왕제이파크6","14.9604","9.4780","202508","08","19,000","3","개인","개인","2018","수영로600번길 50","-","중개거래","부산 수영구","-"
"25","부산광역시 해운대구 반여동","1582-8","1582","0008","(1582-8)","50.8600","16.1250","202508","07","3,300","3","개인","법인","1995","재반로270번길 51-18","-","직거래","-","-"
"26","부산광역시 수영구 광안동","155-6","0155","0006","트라움하우스13차","18.1200","13.1700","202508","07","18,700","3","개인","개인","2017","수영로594번길 76","-","중개거래","부산 연제구","-"
"27","부산광역시 수영구 광안동","155-6","0155","0006","트라움하우스13차","20.0100","14.5400","202508","07","22,700","5","개인","개인","2017","수영로594번길 76","-","중개거래","부산 금정구, 부산 부산진구","-"
"28","부산광역시 금정구 금사동","26-9","0026","0009","태흥빌라","71.0500","36.1000","202508","07","15,500","2","개인","개인","2003","회천로5번길 87","-","중개거래","부산 금정구","-"
"29","부산광역시 수영구 광안동","499-25","0499","0025","대성빌라(499-25)","80.8900","39.4000","202508","07","14,900","1","개인","개인","1997","광일로20번길 50","-","중개거래","부산 수영구","-"
"30","부산광역시 동래구 명장동","132-7","0132","0007","(132-7)","47.2700","49.1000","202508","07","10,000","1","개인","개인","1980","명안로77번길 16","-","중개거래","부산 동래구","25.08.08"
"31","부산광역시 수영구 광안동","150-26","0150","0026","경호써니빌","74.8750","45.9720","202508","07","34,500","5","개인","개인","2003","광안로21번가길 16","-","중개거래","부산 수영구","-"
"32","부산광역시 북구 구포동","1203-7","1203","0007","청호그린빌라(1203-7)","46.7800","25.0110","202508","07","5,000","2","개인","개인","1996","시랑로21번길 128","-","중개거래","부산 북구","-"
"33","부산광역시 서구 서대신동3가","704-121","0704","0121","하나빌에이동","40.6800","19.8333","202508","07","3,900","1","개인","개인","2002","시약로17번가길 16","-","직거래","-","-"
"34","부산광역시 동래구 온천동","1578-24","1578","0024","삼성골든빌라나동","81.3600","76.8330","202508","07","18,900","3","개인","개인","2002","아시아드대로219번길 77-3","-","중개거래","부산 동래구","-"
"35","부산광역시 북구 구포동","1236-2","1236","0002","목화주택","53.0400","24.4300","202508","06","5,700","1","개인","법인","1994","시랑로141번길 12","-","중개거래","부산 북구","25.08.13"
"36","부산광역시 수영구 광안동","1039-7","1039","0007","명성프리미엄","17.0200","11.5000","202508","06","10,500","3","개인","개인","2015","연수로382번길 20","-","중개거래","부산 수영구, 부산 연제구","-"
"37","부산광역시 부산진구 가야동","361-208","0361","0208","청심","57.3400","24.2500","202508","06","8,600","2","개인","개인","2004","엄광로256번길 40","-","중개거래","부산 부산진구","25.08.08"
"38","부산광역시 수영구 광안동","1030-2","1030","0002","광성맨션","51.6000","36.3300","202508","06","40,000","1","개인","개인","1981","연수로348번길 40","-","중개거래","부산 금정구, 부산 연제구","-"
"39","부산광역시 동래구 칠산동","2-40","0002","0040","청우","57.3900","24.7900","202508","06","25,000","1","개인","개인","1993","칠산로60번가길 19","-","중개거래","부산 동래구","-"
"40","부산광역시 북구 구포동","1198-7","1198","0007","우성화목빌라","45.0000","20.2010","202508","06","5,000","1","개인","개인","1996","모분재로23번길 66","20250812","중개거래","부산 북구","-"
"41","부산광역시 동래구 온천동","1234-18","1234","0018","안다미로","18.0600","6.8500","202508","06","7,300","6","개인","개인","2012","아시아드대로247번길 11","-","직거래","-","25.08.06"
"42","부산광역시 수영구 광안동","133-17","0133","0017","명성갤러리","24.5600","17.2590","202508","06","24,700","3","개인","개인","2017","수영로606번길 98","-","중개거래","부산 연제구","-"
"43","부산광역시 서구 동대신동3가","85-10","0085","0010","향원그린빌라","78.5400","40.9877","202508","06","10,200","2","개인","개인","1997","망양로 99-17","-","중개거래","부산 연제구","25.08.12"
"44","부산광역시 사하구 신평동","155-1","0155","0001","삼부","54.6400","59.9100","202508","05","8,800","2","개인","개인","1979","다대로144번길 119","-","중개거래","부산 사하구","-"
"45","부산광역시 남구 용호동","533-63","0533","0063","심우주택(나)","35.9700","30.3000","202508","05","5,500","1","개인","개인","1980","동명로132번길 123","-","중개거래","부산 남구","-"
"46","부산광역시 기장군 기장읍 대라리","265","0265","0000","힐즈빌","44.2400","27.0700","202508","05","8,200","5","개인","개인","2014","대청로13번길 8","-","중개거래","부산 기장군","-"
"47","부산광역시 사하구 괴정동","193-202","0193","0202","대성","32.5600","21.4700","202508","05","3,900","1","개인","개인","1980","대티로63번길 23","-","직거래","-","25.08.06"
"48","부산광역시 동래구 온천동","399-9","0399","0009","서호빌라","64.1935","43.8670","202508","05","18,000","2","개인","개인","2002","우장춘로62번길 29","-","중개거래","부산 동래구","-"
"49","부산광역시 서구 서대신동3가","699-2","0699","0002","석홍빌리지","34.4400","25.4400","202508","05","9,000","4","개인","개인","2014","대티로143번길 9","-","직거래","-","25.08.07"
"50","부산광역시 해운대구 반여동","1291-423","1291","0423","동우주택","35.1750","14.0000","202508","05","8,000","4","개인","개인","1995","재반로212번길 21-38","-","직거래","-","25.08.07"
"51","부산광역시 부산진구 가야동","408-25","0408","0025","광민하이츠(가동)","45.1500","19.0000","202508","05","7,000","1","개인","개인","2001","엄광로208번가길 4-2","-","직거래","-","25.08.13"
"52","부산광역시 사하구 하단동","1179-2","1179","0002","옥돌그린빌라","59.8200","29.7700","202508","05","10,000","2","개인","개인","1996","하신번영로207번길 28","-","중개거래","부산 사하구","-"
"53","부산광역시 남구 대연동","1730-7","1730","0007","목화베스트빌라","33.4200","14.1100","202508","04","7,000","5","개인","개인","1995","유엔평화로9번길 25","-","중개거래","부산 남구","25.08.07"
"54","부산광역시 동래구 사직동","843-3","0843","0003","나정하이츠빌라A동","62.9850","36.7135","202508","04","21,000","2","개인","개인","1998","아시아드대로161번가길 13","-","중개거래","부산 동래구","-"
"55","부산광역시 해운대구 반여동","1612-3","1612","0003","현대빌라(1612-3)","47.8500","16.2720","202508","04","4,300","2","개인","개인","1993","재반로241번길 22-85","-","중개거래","부산 해운대구","-"
"56","부산광역시 북구 구포동","1206-45","1206","0045","수정빌라(1206-45)","74.8350","52.7500","202508","04","7,700","3","개인","개인","1991","팽나무로30번길 7-8","-","직거래","-","25.08.04"
"57","부산광역시 동구 수정동","1188-6","1188","0006","국일","49.9800","48.4400","202508","04","10,000","1","개인","개인","1980","수정공원상로 66","-","중개거래","부산 동구","25.08.13"
"58","부산광역시 수영구 광안동","156-18","0156","0018","보람시티빌","16.7150","11.4729","202508","04","15,500","2","개인","개인","2012","수영로594번길 98","-","중개거래","부산 수영구","-"
"59","부산광역시 동래구 사직동","138-2","0138","0002","청운빌라","54.2700","39.8720","202508","03","11,800","3","개인","개인","1994","여고로75번길 94-7","-","중개거래","부산 연제구","-"
"60","부산광역시 수영구 광안동","118-16","0118","0016","부일메트로스타","14.8800","5.0412","202508","02","10,500","2","개인","개인","2014","수영로606번길 5-4","-","중개거래","부산 수영구","-"
"61","부산광역시 금정구 부곡동","327-25","0327","0025","만익","44.5000","36.0000","202508","02","32,900","2","개인","개인","1981","서부곡로15번길 57","-","중개거래","부산 연제구","-"
"62","부산광역시 북구 만덕동","642-12","0642","0012","은성","58.2000","48.0000","202508","02","9,000","1","개인","개인","1983","만덕1로 73","-","직거래","-","25.08.06"
"63","부산광역시 수영구 광안동","118-16","0118","0016","부일메트로스타","14.8800","5.0412","202508","02","10,500","3","개인","개인","2014","수영로606번길 5-4","-","중개거래","부산 수영구","-"
"64","부산광역시 부산진구 가야동","12-328","0012","0328","라정2차","49.6100","17.2500","202508","02","6,500","3","개인","개인","2002","엄광로326번길 4","-","중개거래","부산 부산진구","-"
"65","부산광역시 수영구 광안동","155-33","0155","0033","휴미소빌","15.3600","9.6500","202508","02","15,100","2","개인","개인","2012","수영로594번길 70","-","중개거래","부산 수영구","-"
"66","부산광역시 수영구 광안동","92-3","0092","0003","광안APT","38.0500","26.6400","202508","01","20,000","4","개인","개인","1969","수영로660번길 37","-","직거래","-","25.08.12"
"67","부산광역시 수영구 광안동","133-31","0133","0031","오크라","16.7750","11.0071","202508","01","17,000","2","개인","개인","2020","수영로600번길 93-4","-","중개거래","부산 수영구","-"
"68","부산광역시 수영구 광안동","1039-11","1039","0011","광안헤즈2차","49.8500","30.9318","202508","01","23,000","5","개인","개인","2015","연수로382번길 26","-","직거래","-","25.08.01"
"69","부산광역시 부산진구 전포동","316-378","0316","0378","다래빌라","40.6900","13.6890","202508","01","6,000","1","개인","개인","2002","진남로356번길 13-7","-","직거래","-","25.08.01"
"70","부산광역시 부산진구 양정동","366-29","0366","0029","마이빌2호동","12.9400","7.7930","202508","01","7,000","1","법인","법인","2002","중앙대로848번길 73","-","중개거래","부산 연제구","-"
"71","부산광역시 수영구 광안동","1039-7","1039","0007","명성프리미엄","18.0300","12.2000","202508","01","10,500","5","개인","개인","2015","연수로382번길 20","-","중개거래","부산 수영구, 부산 연제구","-"
"72","부산광역시 부산진구 전포동","191-730","0191","0730","휠스빌라","43.0000","20.0000","202508","01","6,000","1","개인","개인","2003","동성로76번나길 27","-","직거래","-","25.08.05"
"73","부산광역시 수영구 광안동","182-16","0182","0016","광남빌라","80.7600","45.0350","202508","01","42,500","2","개인","개인","1993","수영로510번길 43","-","중개거래","부산 수영구","-"
"74","부산광역시 수영구 광안동","1039-7","1039","0007","명성프리미엄","24.6100","16.6000","202508","01","13,800","3","개인","개인","2015","연수로382번길 20","-","중개거래","부산 수영구","-"
"75","부산광역시 중구 영주동","525-22","0525","0022","두원아트룸","36.1600","11.6045","202508","01","5,800","1","개인","개인","2001","임소길15번길 22-4","-","중개거래","부산 서구","25.08.07"
"76","부산광역시 금정구 부곡동","232-2","0232","0002","창성맨션","53.1300","32.4400","202507","31","11,500","3","개인","개인","1982","기찰로 50","-","중개거래","부산 금정구","25.08.04"
"77","부산광역시 연제구 연산동","1177","1177","0000","연산미소가2차","29.9900","19.4455","202507","31","20,200","2","개인","법인","2022","대리로 13-5","-","중개거래","부산 연제구","25.08.01"
"78","부산광역시 중구 보수동1가","2-342","0002","0342","(2-342)","59.2800","22.6300","202507","31","6,000","3","개인","개인","1996","보수대로146번길 12","-","중개거래","부산 중구","-"
"79","부산광역시 수영구 광안동","1039-7","1039","0007","명성프리미엄","24.6100","16.6000","202507","31","13,000","4","개인","개인","2015","연수로382번길 20","-","중개거래","부산 수영구","25.08.12"
"80","부산광역시 수영구 광안동","148-45","0148","0045","청해가든빌라","38.0300","20.3181","202507","31","23,000","3","개인","개인","1992","광안로21번길 30","-","중개거래","부산 수영구","-"
"81","부산광역시 수영구 광안동","133-31","0133","0031","오크라","16.7750","11.0071","202507","31","17,000","2","개인","개인","2020","수영로600번길 93-4","-","중개거래","부산 부산진구","-"
"82","부산광역시 해운대구 반송동","275-393","0275","0393","(275-393)","38.8200","12.5000","202507","31","4,900","4","개인","개인","1997","아랫반송로21번길 120-6","-","직거래","-","25.07.31"
"83","부산광역시 수영구 광안동","120-134","0120","0134","타임하우스","12.1100","8.6064","202507","30","9,400","4","개인","개인","2012","수영로618번길 43","-","중개거래","부산 연제구","-"
"84","부산광역시 사상구 모라동","1128","1128","0000","부산하이츠빌라","56.6800","34.5393","202507","30","8,500","2","개인","개인","1996","모라로64번길 21","-","중개거래","부산 사상구","-"
"85","부산광역시 동래구 칠산동","139-4","0139","0004","동아썬빌라","66.6350","31.2500","202507","30","35,000","3","개인","개인","2000","동래로 190","-","직거래","-","25.08.04"
"86","부산광역시 수영구 광안동","93-26","0093","0026","예성하이츠","16.6800","10.5492","202507","30","14,000","2","개인","개인","2011","수영로666번길 70","-","중개거래","부산 수영구","-"
"87","부산광역시 북구 구포동","1243-4","1243","0004","선경골든빌라라동","64.2100","37.7000","202507","30","6,700","1","개인","개인","1993","시랑로185번길 33","-","중개거래","경남 양산시","-"
"88","부산광역시 사하구 감천동","76-1","0076","0001","주웅스위트빌","29.7400","16.0300","202507","30","5,000","2","개인","개인","2002","감천로142번길 10","-","중개거래","부산 사하구","-"
"89","부산광역시 동구 좌천동","915-1","0915","0001","양지코쿤","54.7700","28.2700","202507","29","10,800","5","개인","개인","2007","망양로852번길 17","-","중개거래","부산 수영구","25.08.08"
"90","부산광역시 남구 용호동","374-1","0374","0001","삼월(마,바동)","47.2400","36.0000","202507","29","8,500","1","개인","개인","1982","동명로157번길 50","-","중개거래","부산 남구","25.07.30"
"91","부산광역시 부산진구 가야동","361-539","0361","0539","한은파크빌102동","43.6600","19.1250","202507","29","5,100","3","개인","개인","2005","엄광로256번길 29-4","-","중개거래","부산 부산진구","-"
"92","부산광역시 수영구 민락동","30-6","0030","0006","초원빌라","68.9000","32.6375","202507","29","16,000","2","개인","개인","2003","감포로8번길 74","-","중개거래","부산 수영구","-"
"93","부산광역시 동래구 사직동","69-5","0069","0005","명화하우스","17.6000","10.2098","202507","29","20,000","5","개인","개인","2013","아시아드대로163번길 7","-","직거래","-","25.07.30"
"94","부산광역시 사상구 주례동","208-5","0208","0005","주례델타빌","51.1550","28.8800","202507","28","9,800","3","개인","개인","2002","주감로 192-1","-","중개거래","부산 사상구","-"
"95","부산광역시 남구 대연동","245-50","0245","0050","예원하이츠빌라103동","67.6300","45.5050","202507","28","14,500","3","개인","개인","2019","황령대로319번나길 41-11","-","중개거래","부산 남구","-"
"96","부산광역시 북구 덕천동","363-2","0363","0002","덕천맨션","57.4800","39.6300","202507","28","5,950","2","개인","개인","1983","기찰로129번길 10","-","중개거래","부산 북구","25.08.12"
"97","부산광역시 수영구 광안동","137-28","0137","0028","스타뷰타워21","21.4700","14.2171","202507","28","26,000","2","개인","개인","2021","수영로606번길 54","-","중개거래","부산 연제구","25.07.28"
"98","부산광역시 연제구 연산동","1811-699","1811","0699","(1811-699)","17.7000","7.0202","202507","28","5,000","3","법인","개인","1993","금련로38번길 59","-","중개거래","부산 동래구","25.08.11"
"99","부산광역시 수영구 광안동","134-14","0134","0014","유성아트빌","71.0100","34.7700","202507","28","33,350","5","개인","개인","2003","수영로600번길 82","-","중개거래","부산 수영구","-"
"100","부산광역시 수영구 수영동","453-8","0453","0008","수경빌라(A동)","23.6800","11.2720","202507","28","3,750","5","개인","개인","1997","망미번영로52번길 87-13","-","중개거래","부산 기장군","25.07.31"
"101","부산광역시 남구 용호동","374-1","0374","0001","삼월(마,바동)","47.2400","36.0000","202507","28","8,500","1","개인","개인","1982","동명로157번길 50","20250729","중개거래","부산 남구","-"
"102","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","9,400","4","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"103","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","21.7100","8.0200","202507","27","9,400","4","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"104","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","19.9200","7.3600","202507","27","10,500","2","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"105","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","21.7100","8.0200","202507","27","11,000","2","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"106","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","10,500","2","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"107","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","10,500","2","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"108","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","19.9200","7.3600","202507","27","10,500","3","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"109","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","21.7100","8.0200","202507","27","11,000","3","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"110","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","10,500","3","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"111","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","10,500","3","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"112","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","19.9200","7.3600","202507","27","9,400","4","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"113","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","9,400","4","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"114","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","19.9200","7.3600","202507","27","9,400","5","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"115","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","21.7100","8.0200","202507","27","9,400","5","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"116","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","9,400","5","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"117","부산광역시 수영구 민락동","34-4","0034","0004","더폼하우스","20.3600","7.5200","202507","27","9,400","5","법인","개인","2018","민락본동로11번길 42","-","중개거래","부산 수영구","-"
"118","부산광역시 금정구 서동","385-1","0385","0001","금정맨션","46.3200","32.8000","202507","26","8,000","1","개인","개인","1992","서부로30번길 8-12","-","중개거래","부산 금정구","-"
"119","부산광역시 수영구 광안동","150-26","0150","0026","경호써니빌","74.8750","45.9720","202507","26","41,000","2","개인","개인","2003","광안로21번가길 16","-","중개거래","부산 수영구","-"
"120","부산광역시 동래구 사직동","74-46","0074","0046","문화주택","51.0900","59.9620","202507","26","15,000","1","개인","개인","1979","아시아드대로171번길 37","-","중개거래","부산 동래구","25.08.07"
"121","부산광역시 수영구 광안동","155-4","0155","0004","제이엠글로리아","16.4700","12.0970","202507","26","19,800","5","개인","개인","2017","수영로588번길 69","-","중개거래","부산 부산진구, 부산 수영구","25.08.12"
"122","부산광역시 수영구 광안동","135-19","0135","0019","건왕제이파크6","16.5784","10.5030","202507","26","18,500","2","개인","개인","2018","수영로600번길 50","-","중개거래","부산 부산진구","-"
"123","부산광역시 금정구 부곡동","64-12","0064","0012","해뜰채","48.2200","10.8425","202507","26","13,700","3","개인","개인","2017","중앙대로1763번길 36-22","-","중개거래","부산 금정구","-"
"124","부산광역시 해운대구 반여동","1595-13","1595","0013","목화빌라","45.0800","15.0470","202507","26","6,750","4","개인","법인","1993","재반로242번길 35-53","-","직거래","-","25.07.31"
"125","부산광역시 중구 보수동1가","41-260","0041","0260","삼승빌라","46.5700","16.1200","202507","25","4,500","2","개인","법인","1997","흑교로78번안길 48","-","직거래","-","25.07.25"
"126","부산광역시 부산진구 범전동","73-244","0073","0244","청룡(A)","49.9800","19.5000","202507","25","58,100","3","개인","개인","2004","범양로 68-4","-","중개거래","부산 금정구, 부산 연제구","-"
"127","부산광역시 해운대구 송정동","173-6","0173","0006","태림빌라2차","69.1200","38.2500","202507","25","14,000","2","개인","개인","1996","송정중앙로9번길 120-3","-","중개거래","부산 해운대구","25.08.06"
"128","부산광역시 수영구 광안동","1036-14","1036","0014","우노아트빌","55.8500","34.8260","202507","25","27,000","4","개인","개인","2012","연수로364번길 5","-","중개거래","부산 수영구","-"
"129","부산광역시 동래구 수안동","38-2","0038","0002","화산","63.5700","50.1450","202507","25","10,000","2","개인","개인","1981","온천천로319번길 71","-","직거래","-","25.08.05"
"130","부산광역시 기장군 기장읍 대라리","162-10","0162","0010","한솔빌라B동","76.2300","60.7875","202507","24","9,300","3","개인","개인","1997","대청로8번길 17-1","-","중개거래","부산 기장군","25.07.31"
"131","부산광역시 중구 영주동","509-3","0509","0003","대림빌라","24.0300","15.1250","202507","24","9,000","4","개인","법인","2002","임소길7번길 3","-","직거래","-","25.08.05"
"132","부산광역시 수영구 광안동","1170-16","1170","0016","태황빌리지(1170-16)","69.3000","41.0260","202507","24","36,800","3","개인","개인","1997","장대골로76번길 11","20250804","중개거래","부산 수영구","-"
"133","부산광역시 중구 영주동","96-5","0096","0005","동강맨션","74.6800","62.9000","202507","24","9,200","2","개인","개인","1979","영초길 36","-","직거래","-","25.07.28"
"134","부산광역시 수영구 광안동","976-58","0976","0058","진영에이스주택","68.8800","52.0500","202507","24","38,500","2","개인","개인","1993","연수로324번길 98-7","-","중개거래","부산 연제구","-"
"135","부산광역시 수영구 광안동","128-25","0128","0025","아스타광안","17.8119","14.1768","202507","24","17,300","5","개인","개인","2022","수영로624번길 82-5","-","중개거래","부산 부산진구","25.07.31"
"136","부산광역시 동래구 온천동","325","0325","0000","금샘하이클래스","44.2900","27.5100","202507","23","20,000","4","개인","개인","2016","금강로61번길 84","-","중개거래","부산 금정구","-"
"137","부산광역시 동래구 사직동","77-48","0077","0048","원일아트빌","73.3400","35.9880","202507","23","16,000","5","개인","개인","2002","아시아드대로171번길 74-3","-","중개거래","부산 동래구, 부산 연제구","-"
"138","부산광역시 부산진구 부전동","420-22","0420","0022","광동포시즌텔","22.7700","6.6900","202507","23","3,200","4","개인","개인","1999","가야대로755번길 29-26","-","중개거래","부산 부산진구","25.08.01"
