"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-08-18 ~ 2025-08-17"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세금(만원)","건축년도","도로명","계약기간","계약구분","갱신요구권 사용","종전계약 보증금(만원)","종전계약 월세(만원)","주택유형"
"37","부산광역시 기장군 정관읍 달산리","9**","12m미만","35.00","월세","202508","11","500","33","2017","달산4길","202508~202608","신규","-","","","단독다가구"
"38","부산광역시 기장군 장안읍 길천리","2**","8m미만","13.00","월세","202508","10","50","40","1996","길천1길","202508~202712","신규","-","","","단독다가구"
"39","부산광역시 북구 구포동","1***","12m미만","178.30","월세","202508","10","200","36","2010","백양대로1015번길","202508~202608","신규","-","","","단독다가구"
"40","부산광역시 금정구 장전동","3*","12m미만","18.00","월세","202508","10","500","41","2017","금강로335번길","202508~202608","신규","-","","","단독다가구"
"41","부산광역시 금정구 장전동","2**","8m미만","14.01","월세","202508","10","300","29","2018","금정로149번안길","202508~202608","신규","-","","","단독다가구"
"42","부산광역시 금정구 장전동","3**","25m미만","25.00","월세","202508","10","1,000","50","2015","금강로","202508~202708","신규","-","","","단독다가구"
"43","부산광역시 금정구 장전동","3*","8m미만","20.00","월세","202508","10","500","32","","수림로93번길","202508~202702","신규","-","","","단독다가구"
"44","부산광역시 남구 대연동","8**","8m미만","20.00","월세","202508","10","500","50","2018","유엔평화로47번길","202508~202608","신규","-","","","단독다가구"
"45","부산광역시 금정구 장전동","1**","8m미만","20.33","월세","202508","10","200","27","2011","수림로75번길","202508~202608","신규","-","","","단독다가구"
"46","부산광역시 사하구 괴정동","4**","8m미만","23.00","월세","202508","10","500","40","2017","오작로","202508~202608","신규","-","","","단독다가구"
"47","부산광역시 금정구 장전동","1**","25m미만","26.36","월세","202508","10","3,000","29","1988","금강로","202508~202708","신규","-","","","단독다가구"
"48","부산광역시 강서구 명지동","3***","25m미만","65.00","월세","202508","09","1,000","70","2018","명지국제12로","202508~202708","신규","-","","","단독다가구"
"49","부산광역시 동구 수정동","9**","8m미만","60.63","월세","202508","09","2,000","25","1976","수정외솔로7번길","202508~202708","신규","-","","","단독다가구"
"50","부산광역시 북구 화명동","1***","8m미만","45.00","월세","202508","09","300","47","2017","금곡대로330번가길","202508~202608","신규","-","","","단독다가구"
"51","부산광역시 해운대구 송정동","1**","25m미만","26.04","월세","202508","09","500","35","2012","해운대로","202508~202608","신규","-","","","단독다가구"
"52","부산광역시 남구 대연동","6**","12m미만","20.00","월세","202508","09","200","56","2008","유엔로183번길","202508~202608","신규","-","","","단독다가구"
"53","부산광역시 연제구 연산동","7**","8m미만","108.00","월세","202508","09","1,000","44","","중앙대로1066번길","202508~202608","신규","-","","","단독다가구"
"54","부산광역시 사상구 감전동","1**","8m미만","173.58","월세","202508","09","300","40","1976","사상로","202508~202608","신규","-","","","단독다가구"
"55","부산광역시 금정구 장전동","3**","8m미만","16.00","월세","202508","09","2,000","30","2020","장전온천천로101번길","202508~202608","신규","-","","","단독다가구"
"56","부산광역시 연제구 거제동","1***","8m미만","105.67","월세","202508","09","2,000","45","","월드컵대로252번길","202508~202608","신규","-","","","단독다가구"
"57","부산광역시 금정구 장전동","3*","12m미만","18.00","월세","202508","09","1,000","35","2017","금강로335번길","202508~202608","신규","-","","","단독다가구"
"58","부산광역시 강서구 명지동","3***","25m미만","18.54","월세","202508","09","300","30","2018","명지국제13로가길","202508~202608","신규","-","","","단독다가구"
"59","부산광역시 사상구 엄궁동","1**","8m미만","69.30","월세","202508","09","1,000","40","1987","엄궁남로11번길","202508~202708","신규","-","","","단독다가구"
"60","부산광역시 기장군 정관읍 용수리","4**","8m미만","112.95","월세","202508","08","2,000","90","2003","산막길","202509~202709","신규","-","","","단독다가구"
"61","부산광역시 기장군 기장읍 대라리","3**","12m미만","110.28","월세","202508","08","500","30","2018","대청로13번길","202508~202608","신규","-","","","단독다가구"
"62","부산광역시 기장군 정관읍 모전리","7**","12m미만","26.00","월세","202508","08","300","30","2014","모전2길","202508~202608","신규","-","","","단독다가구"
"63","부산광역시 강서구 봉림동","7*","25m이상","116.42","월세","202508","08","1,000","100","2016","가락대로","202508~202808","신규","-","","","단독다가구"
"64","부산광역시 서구 아미동2가","7*","12m미만","224.54","월세","202508","08","200","50","","까치고개로208번길","202508~202608","신규","-","","","단독다가구"
"65","부산광역시 수영구 광안동","1***","8m미만","171.32","월세","202508","08","3,500","29","1990","광서로16번길","202508~202708","신규","-","","","단독다가구"
"66","부산광역시 남구 우암동","1**","8m미만","46.00","월세","202508","08","300","30","","우암로200번가길","202508~202608","신규","-","","","단독다가구"
"67","부산광역시 강서구 명지동","3***","12m미만","29.00","월세","202508","08","1,000","45","2018","명지국제6로220번길","202508~202608","신규","-","","","단독다가구"
"68","부산광역시 동래구 온천동","1***","8m미만","31.32","월세","202508","08","2,000","35","1971","아시아드대로","202509~202709","신규","-","","","단독다가구"
"69","부산광역시 수영구 광안동","6**","8m미만","201.11","월세","202508","08","200","25","2009","광서로9번길","202508~202608","신규","-","","","단독다가구"
"70","부산광역시 해운대구 반여동","8**","8m미만","150.53","월세","202508","08","2,000","20","1992","반여로155번다길","202508~202708","신규","-","","","단독다가구"
"71","부산광역시 사하구 하단동","6**","8m미만","19.80","월세","202508","08","300","11","1986","제석로18번길","202508~202708","신규","-","","","단독다가구"
"72","부산광역시 강서구 봉림동","6**","25m미만","49.47","월세","202508","08","1,000","50","2017","가락대로1397번길","202509~202708","신규","-","","","단독다가구"
"73","부산광역시 동래구 온천동","1***","8m미만","57.60","전세","202508","07","8,000","0","1987","중앙대로1333번길","202509~202708","신규","-","","","단독다가구"
"74","부산광역시 영도구 동삼동","9**","8m미만","10.60","월세","202508","07","2,000","5","1985","하리서길","202508~202608","신규","-","","","단독다가구"
"75","부산광역시 수영구 광안동","1**","12m미만","106.04","월세","202508","07","300","40","2011","수영로606번길","202508~202608","신규","-","","","단독다가구"
"76","부산광역시 수영구 광안동","1**","8m미만","30.00","월세","202508","07","200","30","2012","무학로52번길","202508~202608","신규","-","","","단독다가구"
"77","부산광역시 강서구 명지동","3***","12m미만","28.50","월세","202508","07","500","45","2017","명지국제12로19번길","202508~202608","신규","-","","","단독다가구"
"78","부산광역시 강서구 명지동","3***","25m미만","28.52","월세","202508","07","500","48","2021","명지국제12로11번길","202508~202608","신규","-","","","단독다가구"
"79","부산광역시 사하구 신평동","6**","8m미만","57.76","월세","202508","07","300","25","2016","하신번영로157번길","202508~202708","신규","-","","","단독다가구"
"80","부산광역시 해운대구 반송동","4*","8m미만","173.72","월세","202508","07","200","20","2001","윗반송로51번길","202508~202708","신규","-","","","단독다가구"
"81","부산광역시 서구 부민동3가","7*","12m미만","26.50","월세","202508","07","500","30","2010","구덕로193번길","202508~202602","신규","-","","","단독다가구"
"82","부산광역시 사하구 당리동","3**","8m미만","26.39","월세","202508","07","1,500","46","2016","낙동대로398번길","202508~202608","신규","-","","","단독다가구"
"83","부산광역시 북구 만덕동","3**","8m미만","176.39","전세","202508","07","3,500","0","1986","중리로20번가길","202508~202708","신규","-","","","단독다가구"
"84","부산광역시 금정구 장전동","1**","12m미만","50.22","월세","202508","07","1,000","35","1985","수림로","202508~202708","신규","-","","","단독다가구"
"85","부산광역시 사하구 하단동","5**","12m미만","20.00","월세","202508","07","1,000","35","2019","낙동남로1423번길","202508~202608","신규","-","","","단독다가구"
"86","부산광역시 북구 구포동","7**","8m미만","18.25","월세","202508","07","2,000","21","2016","낙동대로1762번길","202508~202608","신규","-","","","단독다가구"
"87","부산광역시 북구 구포동","7**","8m미만","20.35","월세","202508","07","500","30","","낙동대로1762번길","202508~202608","신규","-","","","단독다가구"
"88","부산광역시 해운대구 송정동","1**","12m미만","36.00","월세","202508","07","100","50","2017","송정중앙로5번길","202508~202509","신규","-","","","단독다가구"
"89","부산광역시 동래구 명장동","3**","8m미만","27.07","월세","202508","07","500","30","2012","반송로339번길","202508~202708","신규","-","","","단독다가구"
"90","부산광역시 금정구 서동","2**","8m미만","35.00","월세","202508","07","1,000","23","1986","옥봉로14번길","202508~202708","신규","-","","","단독다가구"
"91","부산광역시 남구 대연동","5**","8m미만","15.00","월세","202508","07","300","31","2007","유엔평화로29번길","202508~202608","신규","-","","","단독다가구"
"92","부산광역시 기장군 정관읍 방곡리","4**","25m미만","39.00","월세","202508","07","500","35","2017","정관덕산길","202508~202608","신규","-","","","단독다가구"
"93","부산광역시 기장군 정관읍 방곡리","3**","25m미만","27.00","월세","202508","07","300","29","2012","방곡2로","202508~202608","신규","-","","","단독다가구"
"94","부산광역시 기장군 기장읍 동부리","4**","12m미만","33.00","월세","202508","06","2,000","30","2018","차성동로142번길","202508~202608","신규","-","","","단독다가구"
"95","부산광역시 기장군 기장읍 동부리","1**","12m미만","27.00","전세","202508","06","5,000","0","2016","차성로","202508~202708","신규","-","","","단독다가구"
"96","부산광역시 기장군 정관읍 용수리","6**","12m미만","188.44","월세","202508","06","1,000","40","2014","용수로","202508~202601","신규","-","","","단독다가구"
"97","부산광역시 기장군 정관읍 달산리","1***","25m미만","30.00","월세","202508","06","300","30","2016","달산1길","202508~202608","신규","-","","","단독다가구"
"98","부산광역시 기장군 일광읍 삼성리","8**","25m미만","137.39","월세","202508","06","500","50","2020","해빛6로","202508~202608","신규","-","","","단독다가구"
"99","부산광역시 기장군 기장읍 동부리","1**","12m미만","27.00","전세","202508","06","5,000","0","","차성로","202509~202709","신규","-","","","단독다가구"
"100","부산광역시 동래구 안락동","1***","8m미만","63.96","월세","202508","06","3,000","40","1986","명안로46번나길","202511~202711","신규","-","","","단독다가구"
"101","부산광역시 사하구 신평동","6**","8m미만","25.00","월세","202508","06","300","28","2010","하신번영로159번길","202508~202608","신규","-","","","단독다가구"
"102","부산광역시 사하구 하단동","8**","12m미만","20.00","월세","202508","06","1,000","35","2017","낙동남로1357번길","202508~202608","신규","-","","","단독다가구"
"103","부산광역시 북구 덕천동","3**","12m미만","83.55","전세","202508","06","5,900","0","1988","만덕대로77번길","202508~202708","신규","-","","","단독다가구"
"104","부산광역시 남구 대연동","3**","8m미만","34.91","월세","202508","06","300","51","1974","수영로250번가길","202508~202608","신규","-","","","단독다가구"
"105","부산광역시 동래구 명장동","1**","12m미만","18.00","월세","202508","06","300","37","2011","안락로51번길","202508~202608","신규","-","","","단독다가구"
"106","부산광역시 동래구 명장동","3**","8m미만","57.05","월세","202508","06","1,500","30","1977","시실로215번길","202508~202708","신규","-","","","단독다가구"
"107","부산광역시 해운대구 반여동","1***","8m미만","43.80","월세","202508","06","100","20","1972","재반로212번길","202508~202708","신규","-","","","단독다가구"
"108","부산광역시 사상구 삼락동","4**","8m미만","61.80","월세","202508","06","200","35","1993","사상로277번가길","202508~202708","신규","-","","","단독다가구"
"109","부산광역시 사상구 모라동","1***","12m미만","209.69","월세","202508","06","500","25","1989","백양대로907번길","202508~202708","신규","-","","","단독다가구"
"110","부산광역시 사하구 하단동","5**","12m미만","18.00","월세","202508","06","500","25","1985","하신번영로380번길","202508~202608","신규","-","","","단독다가구"
"111","부산광역시 금정구 장전동","3**","25m미만","21.22","월세","202508","06","2,000","15","2011","금강로","202508~202708","신규","-","","","단독다가구"
"112","부산광역시 동래구 안락동","5**","8m미만","60.30","월세","202508","06","6,300","13","1985","연안로59번길","202508~202708","신규","-","","","단독다가구"
"113","부산광역시 사하구 하단동","*","12m미만","33.00","월세","202508","06","500","45","2015","괴정로57번길","202508~202608","신규","-","","","단독다가구"
"114","부산광역시 동구 범일동","1**","8m미만","15.00","월세","202508","05","200","25","2011","중앙대로","202508~202608","신규","-","","","단독다가구"
"115","부산광역시 부산진구 전포동","3**","8m미만","15.00","월세","202508","05","2,000","55","2017","서전로68번길","202508~202608","신규","-","","","단독다가구"
"116","부산광역시 부산진구 당감동","1**","12m미만","84.87","월세","202508","05","1,000","35","1996","가야대로691번길","202509~202709","신규","-","","","단독다가구"
"117","부산광역시 사하구 다대동","9**","12m미만","133.03","월세","202508","05","1,500","20","1987","다대로530번길","202508~202708","신규","-","","","단독다가구"
"118","부산광역시 남구 대연동","9**","8m미만","17.30","월세","202508","05","500","35","2016","유엔로201번길","202508~202608","신규","-","","","단독다가구"
"119","부산광역시 남구 용호동","4**","8m미만","53.55","월세","202508","05","200","30","1978","동명로112번길","202508~202608","신규","-","","","단독다가구"
"120","부산광역시 영도구 봉래동2가","6*","8m미만","116.41","전세","202508","05","7,300","0","2014","태종로95번길","202508~202708","신규","-","","","단독다가구"
"121","부산광역시 영도구 청학동","3**","8m미만","86.92","월세","202508","05","500","15","1995","청학서로39번길","202508~202708","신규","-","","","단독다가구"
"122","부산광역시 연제구 연산동","6**","8m미만","69.66","월세","202508","05","1,500","30","1983","월드컵대로20번길","202508~202708","신규","-","","","단독다가구"
"123","부산광역시 남구 대연동","9**","8m미만","35.00","월세","202508","05","500","30","1989","유엔평화로29번길","202508~202608","신규","-","","","단독다가구"
"124","부산광역시 금정구 장전동","1**","8m미만","18.00","월세","202508","05","200","25","2017","수림로85번길","202508~202608","신규","-","","","단독다가구"
"125","부산광역시 기장군 기장읍 교리","3**","12m미만","154.10","전세","202508","05","4,500","0","2018","차성로404번길","202508~202708","신규","-","","","단독다가구"
"126","부산광역시 기장군 기장읍 동부리","1**","8m미만","122.57","월세","202508","04","300","12","2015","차성로334번길","202508~202608","신규","-","","","단독다가구"
"127","부산광역시 기장군 정관읍 달산리","1***","12m미만","35.00","월세","202508","04","500","40","2018","달산3길","202508~202608","신규","-","","","단독다가구"
"128","부산광역시 기장군 정관읍 달산리","1***","12m미만","35.00","월세","202508","04","0","35","2015","달산4길","202508~202608","신규","-","","","단독다가구"
"129","부산광역시 부산진구 전포동","3**","8m미만","46.08","월세","202508","04","500","55","2017","동성로39번길","202508~202708","신규","-","","","단독다가구"
"130","부산광역시 부산진구 부전동","4**","8m미만","20.00","월세","202508","04","100","39","2010","부전로","202508~202608","신규","-","","","단독다가구"
"131","부산광역시 연제구 거제동","3*","8m미만","126.94","월세","202508","04","100","12","1977","거제대로230번길","202508~202608","신규","-","","","단독다가구"
"132","부산광역시 연제구 연산동","3**","8m미만","20.42","월세","202508","04","300","33","","신금로17번길","202508~202601","신규","-","","","단독다가구"
"133","부산광역시 연제구 연산동","3**","8m미만","21.57","월세","202508","04","200","28","2017","신금로17번길","202508~202608","신규","-","","","단독다가구"
"134","부산광역시 금정구 장전동","2**","8m미만","18.00","월세","202508","04","300","30","2011","부산대학로64번안길","202508~202602","신규","-","","","단독다가구"
"135","부산광역시 동래구 명장동","5**","8m미만","30.00","월세","202508","04","300","30","2018","명서로112번길","202508~202608","신규","-","","","단독다가구"
"136","부산광역시 금정구 구서동","2**","12m미만","180.49","월세","202508","04","500","30","1990","중앙대로1873번길","202508~202708","신규","-","","","단독다가구"
"137","부산광역시 부산진구 전포동","3**","8m미만","32.40","월세","202508","04","2,000","65","1971","서전로58번길","202508~202708","신규","-","","","단독다가구"
"138","부산광역시 동래구 안락동","4**","12m미만","95.29","월세","202508","04","1,000","55","1992","안락로51번길","202508~202708","신규","-","","","단독다가구"
"139","부산광역시 해운대구 반송동","4*","8m미만","155.32","월세","202508","04","300","15","2015","윗반송로51번길","202508~202808","신규","-","","","단독다가구"
"140","부산광역시 금정구 서동","2**","8m미만","47.08","월세","202508","04","500","35","1977","중군진로","202508~202708","신규","-","","","단독다가구"
"141","부산광역시 북구 구포동","7*","12m미만","40.89","월세","202508","04","500","20","","모분재로7번가길","202509~202709","신규","-","","","단독다가구"
"142","부산광역시 중구 영주동","1**","8m미만","15.00","월세","202508","04","0","25","1991","영초길","202508~202708","신규","-","","","단독다가구"
"143","부산광역시 부산진구 부암동","5**","25m미만","70.78","전세","202508","04","1,000","0","1993","당감로","202508~202708","신규","-","","","단독다가구"
"144","부산광역시 북구 화명동","1***","8m미만","43.00","월세","202508","04","500","50","2015","금곡대로330번가길","202508~202608","신규","-","","","단독다가구"
"145","부산광역시 동래구 온천동","1***","12m미만","152.56","전세","202508","04","12,000","0","1979","미남로102번길","202509~202709","신규","-","","","단독다가구"
"146","부산광역시 금정구 장전동","4**","8m미만","29.39","월세","202508","04","1,000","30","2011","부산대학로64번길","202508~202608","신규","-","","","단독다가구"
"147","부산광역시 부산진구 개금동","6**","8m미만","37.69","전세","202508","04","6,000","0","1974","가야대로410번길","202508~202708","신규","-","","","단독다가구"
"148","부산광역시 금정구 장전동","1**","8m미만","30.00","월세","202508","04","500","61","2016","수림로91번길","202508~202608","신규","-","","","단독다가구"
"149","부산광역시 부산진구 초읍동","2**","12m미만","85.26","월세","202508","03","300","40","2016","성지로113번길","202508~202608","신규","-","","","단독다가구"
"150","부산광역시 사하구 하단동","7**","8m미만","20.00","월세","202508","03","500","26","2011","낙동대로519번길","202508~202608","신규","-","","","단독다가구"
"151","부산광역시 금정구 남산동","9**","12m미만","95.76","월세","202508","03","100","30","2016","남산로51번길","202508~202608","신규","-","","","단독다가구"
"152","부산광역시 북구 구포동","7*","12m미만","33.05","월세","202508","03","1,000","30","","모분재로15번길","202508~202708","신규","-","","","단독다가구"
"153","부산광역시 서구 동대신동3가","4**","8m미만","219.70","월세","202508","03","1,000","20","1990","보수대로","202508~202708","신규","-","","","단독다가구"
"154","부산광역시 사하구 하단동","8**","12m미만","25.00","월세","202508","03","2,000","50","2017","낙동남로1357번길","202508~202608","신규","-","","","단독다가구"
"155","부산광역시 부산진구 당감동","9*","12m미만","20.00","월세","202508","03","500","30","2010","가야대로691번길","202508~202608","신규","-","","","단독다가구"
"156","부산광역시 금정구 장전동","2**","8m미만","20.00","월세","202508","03","1,000","37","2016","부산대학로64번안길","202508~202608","신규","-","","","단독다가구"
"157","부산광역시 사하구 신평동","6**","8m미만","57.51","전세","202508","02","6,000","0","2016","하신번영로163번길","202508~202708","신규","-","","","단독다가구"
"158","부산광역시 동래구 온천동","1***","8m미만","59.31","월세","202508","02","1,000","40","1981","쇠미로221번길","202508~202708","신규","-","","","단독다가구"
"159","부산광역시 북구 덕천동","3**","12m미만","20.22","월세","202508","02","300","31","2011","의성로73번길","202508~202608","신규","-","","","단독다가구"
"160","부산광역시 강서구 대저1동","8**","8m미만","89.35","월세","202508","02","200","20","1984","대저중앙로147번길","202508~203008","신규","-","","","단독다가구"
"161","부산광역시 강서구 신호동","2**","8m미만","20.00","월세","202508","02","100","30","2011","신호산단4로64번길","202508~202608","신규","-","","","단독다가구"
"162","부산광역시 남구 대연동","8**","12m미만","20.00","월세","202508","02","200","45","2008","유엔로183번길","202508~202608","신규","-","","","단독다가구"
"163","부산광역시 북구 구포동","8*","12m미만","42.97","월세","202508","02","500","60","2017","덕천로28번길","202508~202608","신규","-","","","단독다가구"
"164","부산광역시 북구 구포동","7**","12m미만","123.33","월세","202508","02","200","35","2016","백양대로1124번길","202508~202608","신규","-","","","단독다가구"
"165","부산광역시 부산진구 범천동","8**","8m미만","35.00","월세","202508","02","1,000","20","1991","범일로131번길","202508~202708","신규","-","","","단독다가구"
"166","부산광역시 금정구 장전동","1**","8m미만","24.00","월세","202508","02","300","32","2017","수림로61번길","202508~202608","신규","-","","","단독다가구"
"167","부산광역시 서구 아미동2가","7*","8m미만","85.49","월세","202508","02","100","30","","아미초장로104번길","202508~202608","신규","-","","","단독다가구"
"168","부산광역시 부산진구 양정동","9*","12m미만","59.64","월세","202508","02","1,000","30","1972","양연로10번길","202508~202708","신규","-","","","단독다가구"
"169","부산광역시 수영구 광안동","7**","8m미만","106.36","월세","202508","02","500","43","2008","수영로587번길","202508~202608","신규","-","","","단독다가구"
"170","부산광역시 수영구 광안동","1**","8m미만","26.37","전세","202508","02","1,000","0","1986","남천바다로15번길","202508~202708","신규","-","","","단독다가구"
"171","부산광역시 수영구 광안동","2**","8m미만","18.00","월세","202508","02","300","35","2010","남천바다로9번길","202508~202608","신규","-","","","단독다가구"
"172","부산광역시 수영구 광안동","7**","8m미만","20.00","월세","202508","02","300","35","2008","수영로587번길","202508~202608","신규","-","","","단독다가구"
"173","부산광역시 기장군 정관읍 모전리","6**","25m미만","40.00","월세","202508","02","1,000","30","2017","모전로","202508~202608","신규","-","","","단독다가구"
"174","부산광역시 기장군 정관읍 달산리","1***","12m미만","30.00","월세","202508","02","300","34","2018","달산3길","202508~202608","신규","-","","","단독다가구"
"175","부산광역시 기장군 기장읍 교리","3**","12m미만","154.10","월세","202508","02","300","37","2018","차성로404번길","202508~202608","신규","-","","","단독다가구"
"176","부산광역시 기장군 정관읍 달산리","1***","12m미만","33.00","월세","202508","01","500","34","2016","달산1길","202508~202608","신규","-","","","단독다가구"
